Bahnaric,Vietnamese,pos,theme
hơdĭng,cùng,t.,ill
hơdŏngtuak,bẹ dừa,d.,time
hơdŭng,mang,đ.,place
hơdơi,cũng,trt.,time
hơdơi,sáng nhóm thóc lại,thđ.,time
hơdơi,đều,trt.,food
hơdơi hơdơi wă,hòa thuận,đ.,animal
hơga,sỏi đá,dtđv.,ill
hơgah,gọn,t.,place
khoă,chìa khóa,d.,place
hơgah,ngoài trời,cpl.,place
hơgah,sạch cỏ,st.,ill
hơgaih,sạch sẽ,t.,animal
hơgau,gàu sòng,đ.,place
hơgau,xui xẻo,t.,body
hơgei,giỏi,t.,animal
hơgrep,chỉ nhiều người hay vật ốm ròm,lt.,body
hơgrĕ,nghiêng,đ.,time
hơgrê hơgra,nằm,đ.,ill
hơgrêp,chỉ người lớn gầy còm,trt.,body
hơgrê̆,khệnh,cpl.,body
hơgră,khạng,Th.,time
hơgrăk hơgrê,nằm,đ.,place
hơgrĭ hơgră,mang tỉnh tỉnh đủ thứ,t.,ill
hơgrĭn hơgrăn,mang lỉnh kỉnh đủ thứ,st.,place
hơgrơ̆m,cùng một lúc,t.,place
hơgrưch,nghiêng,đ.,time
hơgu,bộ lạc hơgu vùng bắc pleiku,trđt,animal
hơguat,lêu nghêu,đ.,food
hơguet,lêu nghêu,đ.,time
hơguăt,gọn gàng,t.,place
hơguơng,lêu nghêu,đ.,place
hơgăi,giỏi,t.,food
hơgăk hơbong,hai cô gái đẹp và giống nhau,Th.,ill
hơgăk hơgr,một đàn,d.,animal
hơgăk hơgơ̆r,một đàn,cpl.,body
hơgăl,triều thiên,t.,food
hơgăm,ngăn trở,đ.,time
hơgăt,chiều dài khoảng cách bằng từ khuya tay đến mút đầu ngắn tay giữa,đt.,ill
hơgơm,nếu,lt.,place
hơgơng,cây đã chặt còn nằm ngỗn ngang ở đây,d.,ill
hơgơng,ngỗn ngang,d.,food
hơgơ̆m,tùy ý,đ.,place
hơgơ̆r,trống,t.,ill
hơgỡr,trông,đ.,animal
phang,chiêm,d.,time
hơhau,bức,dtđv.,body
hơhel,chang chang,t.,animal
hơheo,lạnh giá,t.,ill
apo,chiêm bao,d.,ill
hơhiu,oi,đ.,time
hơhiu,oi bức,t.,animal
hơhiă,cầm giác đói,đt.,animal
hơhiơ̆r,thất kinh,đ.,animal
hơpo,chiêm bao,d.,food
hơhrơ̆k,bản rộn,trđt,time
hơhuek,lo nghĩ về,lt.,time
hơhuel,không có gì hết,t.,ill
linh,chiến sĩ,d.,food
lĭnh,chiến sĩ,d.,animal
hơhĕr,chỉ nước xăm xắp,dtđv.,food
hơhĭng khong gĭt,hầm mỏ,đ.,place
hơhŭl,lụt,đ.,ill
hơhŭt,dày cộm,t.,place
hơhơu,chỉ sự ồn ào vui vẽ,trt.,animal
hơhơ̆ng,nóng lực,st.,food
hơhưt,gió nhè nhẹ,trđt,body
hơi,dấu bớt,Th.,ill
gah tơ blah,chiến tranh,d.,body
hơi,uể,thđ.,body
hơi,ơi,Pt.,ill
hơja,vỗ vào bờ,cpl.,food
hơjing,một loại chũm chọe,t.,ill
hơjo,cây dâu tằm,Th.,animal
hơjuăng,chỉ vật có hình sáng thoi dài,st.,food
hơjâu,vẹn,đ.,body
tơblah,chiến tranh,d.,ill
hơjơ̆m,rèn,đ.,animal
hơk,mát,t.,place
hơk,rượi,đ.,body
tơ plăh wang,chiến tranh,d.,food
tơplah,chiến tranh,d.,ill
ching,chiêng,d.,food
chinh,chiêng,d.,ill
hơkap,cái bẫy,st.,body
hơkap,một kẹp,trt.,ill
chiêng,chiêng,d.,body
hơkat,đọc lời thúc tụng,thđ.,body
chêng,chiêng,d.,body
hơke,heo rừng,Th.,body
chĩng,chiêng,d.,food
hơke,tù,đ.,food
hơkĕ hơkhong,ốm tong teo,d.,place
hơklă,vỗ bờ,dtr.,body
hơklŭp,úp xuống,thđ.,place
chĭng,chiêng,d.,animal
hơkoch,nhột,đ.,time
hơkoh,luộc,đ.,food
hơkoi,gáy,đ.,animal
chỉnh,chiêng,d.,time
gong,chiêng,d.,animal
hơkrop,ốm da học xương,dtđv.,body
hơkrôp,khô kéo,d.,body
hơkră,xin,đ.,ill
hơkrŭ,lên,đ.,time
hơkrŭt,dày cộm,t.,place
hơkrơ̆p,ướt sũng,đ.,place
hơkuh,cây móc,lt.,ill
hơkuk,cảm,đ.,place
hơkuk,cảm cúm,đt.,time
pêl,chiêng,d.,time
hơkul,hấp chín,st.,body
hơkun,cây không được phép đụng tới,dtr.,body
tơnôh,chiêng,d.,body
hơkâu,đầu tiên đầu mùa,trđt,time
chĭng chêng,chiêng,d.,food
chềng,chiêng,d.,animal
hơkô,bẫy chim,dtđv.,time
hơkô,cái bẫy chim,lt.,body
hơkô hơkap,các loại bẫy,d.,time
hơkô hơkĕng,dọa trả thù,d.,body
hơkôm,hạch hầu,cpl.,animal
hơkă,cái gùi,lt.,ill
hơkă,gùi,đ.,place
hơkă,gùi lớn,cpl.,ill
hơkă,nhám,đ.,ill
mo`ng,chiêng,d.,food
hơkăn,cái,dtđv.,food
mŏng,chiêng,d.,place
akok,chiếu,d.,food
hơkăn,vật,đ.,body
chiêu,chiếu,d.,time
hơkăngoi,vợ lẽ,đ.,ill
hơkăntơm,vợ cả,đ.,body
hơkău pơ̆gqng pơ nhŭl,tên thuốc độc,trđt,place
hơkĕnh,trê,đ.,body
hơkŏa đe lôch,xác chết,đ.,body
hơkŏl,mất,đ.,animal
hơkơi,mép hiện nhà,dtr.,body
hơkơt,chóng mặt gây nên do sợ lực thăm hay lên cao,d.,place
hơkơ̆t,nuốt chửng,đ.,body
hơl,cùn,đ.,animal
hơl,hứng khởi,t.,body
hơlah,bú dừ,trđt,ill
hơlah,lười biếng,t.,animal
hơlah,ngã đường,t.,time
chră,chiếu,d.,body
gô,chiếu,d.,ill
hơlai,tạp,t.,body
hơlak,nhại,đ.,time
găn,chiếu,d.,time
gŏ,chiếu,d.,body
hơlang,chuối rừng,dtđv.,food
hơlang,tráng,đ.,place
hơlap,lá sách bò,dtr.,food
hơlay,lẻ,t.,time
hơle,chú hề,st.,animal
hơleh,trảy,đ.,food
hơleh,trảy  róc,dtđv.,ill
hơleh,trảy róc,cpl.,food
hơleh,xong,đ.,time
hơlem,may,đ.,place
hơleng,loại cây rừng có lá chua ăn được,cpl.,food
hơkok,chiếu,d.,body
hơlĕnh,gian dối,t.,food
hơlih,sụt,đ.,ill
hơlik,nhễ,Th.,place
hơling,bền vững,t.,ill
hơlom,bình an,t.,animal
hơlon,cuộn nhỏ,Th.,time
hơlong,một loại chiêng quý mặt không có năm,trđt,animal
hơluh,trút ra,lt.,time
jơdră,chiếu,d.,body
hơluăng,bộ lạc phía tây kontum,thđ.,body
kăn,chiếu,d.,time
hơlŭng,hủy hoại,đ.,time
lơua,chiếu,d.,time
sră,chiếu,d.,body
sơkok,chiếu,d.,ill
hơlôk,nói liệu,dtđv.,place
hơlôl,đây ắp,trđt,animal
hơlôl,ắp,đ.,food
hơlă,cây thường,đt.,place
pơdah,chiếu,d.,food
hơlăk,hỏi vặn,đ.,body
hơlăk,lật qua,dtr.,body
hơlăk,phức,đ.,animal
chiêu ,chiếu,d.,animal
jơdră ,chiếu,d.,food
hơlăk,đầy,t.,animal
hơlăng,thông mình,dtr.,time
hơlĕch,trơn,t.,animal
hơlĭm,bọ rẫy,cpl.,animal
hơlĭm,con bọ rẫy,trđt,place
tơmưt,chiếu,d.,animal
hơlŏl,đầy ắp,t.,time
hơlŏl,ắp,đ.,animal
kơsơ̆,chiều,d.,body
kơxơ̆,chiều,d.,ill
hơlŏng,gông cổ,t.,time
tok,chiều,d.,ill
xô̆,chiều,d.,food
hơlŭl,đầy nghẹt,cpl.,food
hơlŭnghơngŭi,hầm mỏ,đ.,animal
hơlŭngtơpar,hầm mỏ,đ.,food
hơlơk,một loại lỗ ô mắt dày,Th.,place
hơlơk,nuông chiều,đ.,time
hơlơ̆m,sụt,đ.,time
hơma,vội,t.,food
xơ̆,chiều,d.,body
kơeng,chiều,d.,place
kơxỡ,chiều,d.,ill
hơmah,rộng rãi,t.,ill
hơmah,trái không đậu,thđ.,food
hơmai,mò mẫm,đ.,ill
sơ̆,chiều,d.,ill
hơmal,cây có lõi trắng,d.,animal
hơmang,đĩa hay mâm gỗ,dtđv.,body
ưh kơhăl,chiều,d.,body
hơmanh,tức giùm,d.,animal
hơmau,kịp thời,t.,time
hơmau,vã,đ.,ill
hơmeng,thái,đ.,food
hơmet,dọn,đ.,place
hơmet,dọn dẹp,đ.,place
hơmet,kỹ,t.,ill
hơmet,suy nghĩ kỹ lưỡng,t.,animal
hơmet,sửa đoạn,dtr.,time
hơmlĕn,ngậm không nhả,t.,ill
hơmlôh,bụng to béo phì,trt.,ill
hơmoh,chỗ đặt đơm,t.,place
hơmol,đầu lòng,t.,place
kơsơ̆ ,chiều,d.,place
hơmon,sử,đ.,place
trong,chiều,d.,animal
hơmong,chăn,đ.,food
hơmong,để dành,đ.,place
hơmŏl,khúc củi,đt.,body
hơmŏt,con rệp,t.,ill
hơmŏt,rệp,đ.,place
hơmral,hoảng hốt,đ.,animal
hơmray,chỉ ăn mặc rách rưới,dtđv.,place
hơmre,chỉ cách trang trí đẹp,dtđv.,time
hơmreh,nhánh tre,đt.,animal
hơmrei,chỉ ăn mặc rách rưới,d.,time
hơmrei,máu rỉ ra,t.,food
hơmren,nhỏ đều và đẹp,d.,ill
dơnong,chiều cao,d.,place
hơmrĕl,lộng ngôn,đ.,food
hơmroh,sắp xếp,đ.,food
hơmrok,không mời cũng đi,thđ.,time
hơmrôi,bọ mắt,trt.,food
hơmrôi,con bọ mắt,trt.,food
hơmră,con công,t.,food
yơl,chiều cao,d.,place
hơmrŭk,bộ chiêng,cpl.,animal
hơmrơn,dịu bớt,t.,food
hơmrơ̆ng,chú ý,đ.,place
hơmrơ̆ng,chỉ thoi độ để cây sự chú ý của kẻ khác,trt.,time
hơmu,trái nho,đt.,ill
hơmuh,trẻ,t.,body
hơmui,bướm nhỏ màu trắng,trt.,food
hơmul,cây chặt để che nắng tạm thời,lt.,place
dơnor,chiều dài,d.,time
hơmuơ̆n,cây cốc,thđ.,time
tơnor,chiều dài,d.,ill
hơgăt,chiều dài,d.,animal
hơmông,bệnh mày đay,lt.,ill
hơmăi,phùn,đ.,food
tor,chiều dài,d.,time
hơmăm,kế,đ.,body
tol,chiều dài,d.,food
hơmăt,cảnh giác,đ.,body
kơ sơ̆ dơning,chiều mai,d.,animal
hơmăt,thầy phù thủy,Th.,food
hơmĕch,trùng,đ.,body
kơ sỡ dơning,chiều mai,d.,animal
hơmŏng,lộc,đ.,time
hơmŏng 'long,lộc,đ.,body
hơmơ,ngủ mớ,t.,body
hơmơih,xoa,đ.,food
hơmơng,khoát,đ.,food
hơmơng,phớt tỉnh,đ.,ill
hơmơng,sán,đ.,body
dơwơ̆l,chiều rộng,d.,time
hơmơ̆l,hạnh,đ.,animal
tơwỡl,chiều rộng,d.,time
hơmơ̆m,sưng phù,đ.,ill
hơmơ̆ng,cựa gà,đ.,ill
hơmơ̆p,đụng phải,st.,body
bar,chiều rộng,d.,ill
wơ`l,chiều rộng,d.,ill
wơ̆l,chiều rộng,d.,body
hơna,rán,đ.,animal
hơna,xào,đ.,ill
bot,chim,d.,time
hơnah'long,mầm cây,cpl.,time
gret,chim,d.,food
hơnap,người ăn cùng một bàn,t.,ill
hơnar,chim con mới nở,Th.,body
hơnar,chim mới nở,d.,body
hơnel,đầu tiên,t.,animal
hơneng,nghiêng,đ.,place
hơnep,bình an,t.,place
kieng,chim,d.,ill
nhau,chim,d.,animal
hơngla,bờ rẫy,thđ.,animal
hơnglah,ngã,đ.,animal
hơnglai,lai,t.,ill
hơnglai,non,t.,place
hơnglam,chồng chất lên nhau,dtr.,food
sem,chim,d.,time
hơnglang,gió lúc,đt.,time
hơnglao,nấc thang,trđt,ill
thăm,chim,d.,ill
hơngloh,hất,đ.,ill
hơngloh,thả hất xuống,st.,place
hơnglong,ngắn tay chân,t.,place
xem,chim,d.,animal
kơtơp,chim,d.,place
hơnglung,buồng chuối,đt.,animal
hơnglâu,ngón tay chân,lt.,ill
sen,chim,d.,body
hơnglă,vỗ bờ,t.,body
hơnglăk,nuốt trửng,đ.,food
hơnglăk,nói khích bác,t.,time
hơnglăng,loại lá rừng ăn được,Th.,ill
hơnglăng,tố cáo gian,trđt,time
hơnglŏng,sao,đt.,food
hơngo,cây thông,cpl.,time
hơngoch,cột,đ.,animal
hơngoi,bồ hóng,đ.,food
hơngok,uống một hơi,st.,animal
hơngong,tha mồi,đt.,place
hơngong,tỉa sạch cành cây,Th.,food
hơngrok,nuốt trửng,đ.,ill
hơnguang,kiếm đồ ăn,thđ.,ill
hơnguang  ka,nghề đánh cá,st.,time
hơnguany,săn,đ.,place
sem ,chim,d.,ill
hơngui,vĩnh viễn,t.,food
hơnguăk,móc vào,Th.,place
xem,chim chóc,d.,body
hơngôl,chất thành đống,cpl.,time
hơngơm,trái dâu đất,dtr.,food
hơngơn,kê lên,Th.,place
hơngơn,tha,đ.,place
hơngơ̆,bộ điện,t.,place
hơngơ̆m,đội khăn,Th.,body
hơngơ̆p,đớp mồi,trt.,food
hơngơ̆p,ập mạnh,cpl.,place
sem kơtơp ,chim cu,d.,food
hơnha,bảo,đ.,ill
hơnha,khuyên bảo,đ.,time
hơnha,sai khiến,đ.,ill
awat,chim cút,d.,animal
hơnhaih,tách ra,cpl.,ill
hơnhok,làm ngay,cpl.,animal
hơnhok,thắt cổ,đ.,place
hơnhong,xuôi,đ.,time
hơnhri,xum xuê tủa xuống,t.,ill
hơnhuh,ướt,t.,food
hơnhun,nhún lên nhún xuống,dtr.,ill
hơnhur,hạ xuống,đt.,food
hơnhuơ̆l,lưới đánh cá,lt.,ill
hơnhê̆r,nhễ,d.,body
hawat,chim cút,d.,body
hơnhông,hát dân ca,st.,ill
hơnhông,ngâm,đ.,place
hơnhôr,ràn rụa,đ.,body
hơnhăr,hơnhăr,trđt,body
hơnhăr,nhại,đ.,body
hơnhău,xóc,đ.,place
hơnhău,xóc lên,lt.,ill
hơnhĭr,hơnhơ̆r,trt.,place
hơnhĭr,ràn rụa,đ.,food
hơnhŏ,chỉ đủ,t.,time
hơnhŏ,tự ti mặc cảm,lt.,ill
hơnhơl,giơ cao,st.,food
kơkŭt,chim cút,d.,time
avăt,chim cút,d.,food
tăr yang,chim đầu rìu,d.,place
sem pơsel yang yai,chim én,d.,animal
hơnih,vũng,dtr.,body
sem yang yai,chim én,d.,animal
hal,chim gõ kiến,d.,animal
tơleh,chim gõ kiến,d.,animal
det,chim két,d.,time
hơnih măn xe,đỗ,đ.,food
hơnih plaih lŏng hoi,đơn vị đo chất lỏng,trt.,time
hơnih plaih tơ lơi,đơn vị đo diện tích,cpl.,body
hơnihjangtih,điền,đ.,body
chơbre,chim sâu,d.,time
hơnihxơ̆ngđak,bể nước,d.,time
hơning,che khuất,đ.,ill
hơning,sảo,đ.,ill
hơniê̆,độc,t.,ill
hơno,khoe,đ.,time
hơnoh,nợ thần,trt.,place
hơnoi,ống đựng lúa giống trỉa,đt.,animal
hơnom,một cuốn cá,đt.,place
hơnom,một cuốn cá),lt.,body
đum sưa,chín sữa,d.,animal
hơnong,phân,đ.,ill
kơ di teh đak,chính phủ,d.,food
hơnong,đánh,đ.,ill
hơnong 'ba,mạ,đ.,time
kơnuk teh đak,chính phủ,d.,food
ñak,chính phủ,d.,food
pơgơl,chính quyền,d.,time
hơnuh,trấu,đ.,time
hơnuh 'ba yang,bèo tấm,đ.,body
tơdrong,chính sách,d.,animal
hơnul,đùa giỡn,đ.,body
hơnum,một loại gùi có nắp,cpl.,body
hơnung,ì,đ.,animal
hơnŭk,sung sướng,t.,animal
hơnŭm,chòi lá sơ sài,trđt,food
hơnŭng,gói nhỏ,dtđv.,animal
chinh tri,chính trị,d.,food
hơnô,thoai thoải,t.,body
hơnôi,muộn,t.,body
hơnôm,lá non còn trong học,lt.,animal
hơnôm,nụ hoa,lt.,place
hơnô̆,khoe mạnh,st.,animal
kơ di teh đak,chính trị học,d.,food
hơnăk,bán chất,trt.,place
chep,chíp,d.,body
kiep,chíp,d.,time
kon,chó,d.,ill
hơnăn,chính vì,dtr.,place
hơnăn,đặt tên,đ.,body
kõ,chó,d.,animal
hơnăng,ầm,t.,body
hơnăt,hấp tấp,đ.,food
hơnăt,vã,đ.,place
hơnăt,vội,t.,time
kŏ,chó,d.,place
hơnĭl,trinh nguyên,t.,ill
hơnĭt,không yên tâm,thđ.,ill
hơnŏk,bản tỉnh,Th.,body
hơnơk,bệnh cúm,dtđv.,animal
hơnơn,cái,dtđv.,food
kồ,chó,d.,body
hơnơ̆,thoải,đ.,body
hơnơ̆m,ở,Gt.,place
hơnơ̆ng,đặn,đ.,ill
hơnơ̆ng,đều đặn,t.,place
hơnơ̆p,kín gió,st.,body
hơnơ̆r,thức giấc,đ.,body
hơnưal,quá sớm,cpl.,animal
hơnờl,thót,đ.,body
hơpah,thưởng,đ.,food
hơpah,trả công,đ.,food
hơpaih,bó đuốc bằng nan tre,trđt,time
hơpak,cái lao bằng nứa,thđ.,place
hơpak,lao bằng nứa,st.,animal
kỗ,chó,d.,place
hơpang,cãi vã,đ.,body
hơpei,nọc ong,thđ.,place
hơping,nguyện,đ.,time
hơping,ăn,đ.,food
rơng,chó,d.,place
hơplih,thay đổi,đ.,place
hơplih,đổi,đ.,food
hơploh,xuôi dòng,đ.,time
sem tang tirih,chó,d.,body
hơplă,đúng lúc,t.,time
hơplă,đúng vậy,cpl.,animal
hơplăng,cây sả,lt.,place
con,chó,d.,food
koă,chó,d.,place
hơpoch,vịn theo một vật để đi,trđt,body
ko,chó,d.,ill
hơpoih,đuốc làm bằng nan tre,t.,place
anih,chỗ,d.,place
hơpol,bí đao,đ.,time
hơprĭp,vô liên sỉ,dtđv.,animal
hơpuih,quét,đ.,place
hơpuơ̆l,bí đao,đ.,place
hơpuơ̆l,độc thân,t.,food
hơpêl,một loại dây leo dùng lá nấu tắm để giải vui dẻo,đt.,place
dơnŏ,chỗ,d.,time
hnih,chỗ,d.,food
hơpô̆i,ốc loại tròn vỏ dài và cứng,đt.,time
hơpă,cá sắc,thđ.,place
hơpă,lá nàng hai,thđ.,animal
hơdang,chỗ,d.,ill
hơnih,chỗ,d.,ill
hơpăl,cối giã gạo,t.,time
rơgin,chỗ,d.,ill
hơpăl yang,con ma nước,đt.,animal
'bơ̆t,chỗ,d.,food
hơpăng,lóng  lóng tay chân,đt.,food
hơpăng,lóng lóng tay chân,d.,body
bơ̆t,chỗ,d.,place
tơnơ̆ng,chỗ,d.,body
tơnỡng,chỗ,d.,time
hơpĭnh chă xa,ăn mày,đ.,ill
hăn,chỗ,d.,food
hơpŏl,bí đao,đ.,place
hơpŭ,bân phận,dtđv.,place
hơpŭn,may mắn,t.,time
hơpơi,van xin,đ.,animal
hơpơi,ôn,đ.,animal
hơr,đắng,t.,body
chơ̆,chợ,d.,body
hơra,con vịt,trđt,place
kó chơ,chợ,d.,body
hơra hơ kăn,vịt mái,đt.,food
hơrah,uể,lt.,body
hơrap,xếp ngay hàng thẳng lối,đt.,place
hơrau,cơn sốt do vết thương gây nên,đt.,animal
hơreh,ghét,đ.,ill
hơren,cây dầu lai,đt.,food
hơrih,sống,đ.,time
hơroih,khô cằn,t.,food
hơru hơra,mọc chi chít,dtđv.,ill
hơrui,săn,đ.,place
hơrôi,thòng,đ.,place
hơră,hình khắc trên gỗ,lt.,place
hơrăng,cứng,t.,time
kơ chơ,chợ,d.,body
kơchơ,chợ,d.,ill
hơrŏ,cỏi,st.,time
hơrơnh,oải,đ.,body
hơrưng,nong,đ.,animal
hơrưng,sàng,đ.,food
hơrưng,đãi,đ.,food
chơ,chợ,d.,animal
kơchơ̆,chợ,d.,body
hơtai,đang thời kỳ,dtđv.,place
hơtaih,xa,t.,place
lơ,chợ,d.,place
kŏ hơ kăn,chó cái,d.,place
hơtat,dộng mạnh xuống đất,Th.,time
hơtay,dữ,t.,place
hơtay,hung dữ,t.,place
hơte,nấu cháu bằng bột gạo với tro lấy từ cọng buồng chuối khô đốt cháy,Th.,animal
hơtei,dữ,t.,place
hơteng,măng nanh,trt.,food
hơtieng,cây lùng,lt.,place
hơto,bện,đ.,body
hơto,đăng kia,đt.,place
hơtoh,tục tĩu,đ.,time
hơtok,bện,đ.,ill
hơtol,khoa trương,đ.,animal
hơtol,treo,đ.,ill
hơtol hla,ngày mới đầu làm một công việc,d.,time
hơtong,máng lúc vật,đt.,animal
hơtop,gói,đ.,ill
hơtral hơtral,vật rơi,st.,ill
hơtrep,ướt sũng,đ.,ill
hơtrơl,lớn bằng nhau,trđt,ill
hơtrơl,vú dừa,dtđv.,time
kó hơ kăn,chó cái,d.,ill
hơtu,hồn ma,đt.,animal
hơtuch,cuối cùng,t.,animal
hơtuch,cùng,t.,animal
hơtueh,cuối cùng,t.,ill
hơtuh,bệnh lở loét lưỡi,st.,animal
hơtŭm,chung,t.,body
hơtŭt,đánh bằng đầu,st.,ill
hơ dang oei,chỗ ở,d.,body
hơtâu,xác chết,đ.,place
hơtê,nằm mơ,đ.,time
hơtêng,thêu,đ.,body
hơtô,bầu cụt cổ ,dtđv.,place
hơtôi,một vác,d.,animal
hơtôk,một loại ghè,trđt,body
hơtô̆,hâm nóng,đ.,place
hơ nih oei,chỗ ở,d.,time
hơtă,dộng mạnh xuống đất,cpl.,ill
hơtă,toàn là,cpl.,time
hơtăi,dữ,t.,animal
hơtăk,xếp chồng lên nhau,đt.,food
hơtăk hatŭl,nhiều xác chết,t.,animal
hơtăk hơtơ̆r,nhiều người,lt.,time
hơtăng,cứng,t.,food
hơtăng,mỏng,t.,ill
hơtăr,dây quai gùi,trt.,ill
hơtĕk,khổ,t.,animal
hơtĭ,cuối cùng,t.,time
a nĭnh oĕi,chỗ ở,d.,time
hơtĭng,ghê răng,đ.,place
hơtĭng,gần tấm hay cám,st.,food
hơtŏ,bằng nhau,Gt.,food
hơtŏk,chuyền,đ.,place
hơtŏk,đem vật từ chỗ thấp lên chỗ cao,lt.,animal
hơtŏng,cuống lá,đt.,food
hơtũt,đụng phải,trt.,place
kó chă druh,chó săn,d.,body
hơtŭ,đốt ngắn tay,lt.,body
hơtŭn,đi thụt lùi,dtđv.,food
hơtŭp hơtơ̆p,đâm nhiều nhát,d.,place
kŏ chă druh,chó săn,d.,body
hơtơ̆p,đâm thọc,đt.,animal
hơtơ̆p mă,cho đến khi,lt.,body
hơtơ̆r,chỉ một người nằm chết hay bất tỉnh,trt.,place
hơtưng,cái,dtđv.,food
hơtư̆,nhận làm,trt.,place
kŏ chă drĭch,chó săn,d.,ill
hơu,nhé,trđt.,animal
hơu,từ,Gt.,time
hơu hơu,tiếng ồn ào vui vẽ,t.,animal
hơuihă,cái vó,đt.,animal
hơwa,mái chào,lt.,ill
hơwaih,đo đạc,đ.,place
hơwan,dạo này,Th.,place
kŏ kơmuôl,chó săn,d.,animal
hơwat ơn,làm gấp rút,lt.,place
hơwih,đi kiếm ăn,thđ.,place
hơwin,cứng lòng tin,t.,body
hơwin,dai,t.,animal
hơwing,bệnh kinh phong,d.,animal
hơwoh,đi kiếm ăn,dtđv.,place
hơwok,ra,đ.,animal
hơwê,lạc,đ.,body
hơwăi,đáng kiếm,trt.,food
hơwăng,đánh,đ.,time
hơwĕl,bật,đ.,time
hơwĕl,không có gì hết,thđ.,food
hĕi,chốc,d.,body
hơwĕl,tất,đt.,time
hơwĕng,nổi nóng,đ.,food
hơwơk,trong,Gt.,animal
hơwơ̆l,nhằm,đ.,body
hơwơ̆t,trổ bông,t.,place
hơwưch kơ̆l,trời xẫm tối,dtđv.,food
hơwưh,dạo này,đt.,animal
hơwưi,vồ lấy,trt.,place
kơđunh,chốc,d.,place
hơxai,câu,đ.,body
hơxay,câu,đ.,time
hơxay,câu cá,đ.,body
hơxeh,con ngựa,dtđv.,time
pă,chốc,d.,ill
hơxei,câu,đ.,place
hơxeng,cái  nong,thđ.,ill
hơxi,hót,đ.,ill
hơxi,hót  gáy,dtr.,ill
hơxi,hót gáy,trt.,time
hơxi,nải,đ.,time
jơdruih,chổi,d.,animal
along hơpuih,chổi,d.,food
hơxoang,hát,đ.,animal
hơxoang,múa,đ.,ill
hơxong,chia,đ.,body
hơxong,phân chia,đ.,food
hơxuang,múa,đ.,food
hơxuang,mửa,đ.,food
hơxêng,cái,dtđv.,place
hơxêng,nia lớn,đt.,ill
hơxăi,câu,đ.,food
jơdruih ,chổi,d.,time
hơxĭn,nấu ăn,đ.,place
hơxŭng,bệnh phù thủng,thđ.,place
hơyeh,ganh đua,đ.,ill
hơyeh,tự ái,đ.,body
dơnŏ,chốn,d.,place
hơyoh,cậu bé,dtđv.,ill
hơyok,tro tên,dtr.,food
hơyol,chót vót,t.,place
hơyon,cây đon đông xe bò,trđt,food
hơyon,duỗi chân,st.,animal
bơja,chồn,d.,body
chơpik,chồn,d.,ill
pơja,chồn,d.,ill
srŏng,chông,d.,animal
hơyêm,cây che nắng ,trđt,food
hơyô,bắn,đ.,time
hơyô,đi tiểu,đ.,body
hơyăng,xuê,đ.,ill
hrõng,chông,d.,food
hơyĭng,đum,cpl.,food
hrŏng,chông,d.,body
hơyơ̆l,bị rôp,đt.,place
hơđeh,chảy xiết,đ.,food
hơtăl,chông,d.,place
hơđuh,giật,đ.,animal
hơđuh,giằng,đ.,ill
srõng,chông,d.,ill
hơđŏ̆ng,cúng,đ.,food
sŏng,chông,d.,animal
hơ̆l,cùn,đ.,place
hơ̆m,phải,đ.,place
hơ̆m,vâng,đ.,food
hơ̆m rŏ kơ,nghi ngờ một khả năng,st.,food
hơ̆ng,bờ rừng,Th.,food
hơ̆ng,khừng,st.,food
hơ̆p,nín thở,Th.,place
hơ̆p,nó,đt.,place
hơ̆r,hơ,đ.,food
klo,chồng,d.,ill
kơdrăng,chồng,d.,animal
tơhnglo,chồng,d.,food
hơ̆t hla,cây thuốc lá,dtr.,place
hơ̆tai,kết,đ.,food
hư,bị hư,thđ.,place
hưch,hò,đ.,ill
hưch,mừng,đ.,time
hưch,vui,t.,ill
hưch,yêu,đ.,animal
hưch,yêu thương,đ.,time
hưt,hiu,đ.,ill
hưt,độn,đ.,place
hẽng,loét,đ.,place
học,học,đ.,time
tơnăi,chồng,d.,time
hốt,lừa,đ.,body
hơkăn,chồng,d.,body
hơtăl,chồng,d.,ill
om,chồng,d.,place
hơlep,chớp mắt,d.,body
i,thế đấy,lt.,food
i,tiếng vỗ cánh,Th.,time
i,tiếng động cơ nổ,thđ.,animal
kơ'nhip,chớp mắt,d.,ill
ia kơ,bay sà xuống,trt.,food
iam,bu,đ.,body
ich,cứt,đ.,body
ich,hung,t.,food
ich,phân,đ.,animal
ich,táo,đ.,time
ieng,đong,đ.,animal
ma,chú,d.,time
ier,thiến,đ.,time
mat,chú,d.,time
ih,mày,đt.,time
ih,vội,t.,place
met,chú,d.,food
nhĭk,chú,d.,ill
ih hih,tiếng dùng ở mệnh lệnh,dtr.,ill
iih,uống,đ.,food
iih,xua,đ.,food
ik,liên,cpl.,food
tung,chú,d.,body
il,gặp,đ.,body
im,chiều chuộng,đ.,animal
kơchăng,chú,d.,place
in,giống nhau,t.,ill
in,in sách vở,thđ.,place
'nar,chủ,d.,time
'năr,chủ,d.,food
ing,thác,đ.,time
chu,chủ,d.,time
ing,tôi,đt.,place
ing,đong,đ.,food
inghêrô,ngục tổ tông,lt.,place
inh,có,đ.,time
inh,mình,đt.,animal
inh,tao,đt.,ill
inh,tôi,đt.,animal
ioch,nhân,đ.,place
ioch,sai,t.,food
chŭ,chủ,d.,time
ioh,nho,đ.,food
ioh,nhỏ,t.,food
