tay,viet,pos,theme
éo,cưỡng,M,
éo,cố tình,M,
éo,gấp khúc,M,
éo,ngoặt,M,
ẻo,vặn,M,
ẻo,bẻ,V,
ẻo,vắt,M,
ẻo ét,kĩu kịt,N,
ẻo ét,đung đưa,V,
ẹo,xôi,N,
ép,ép,V,
ế,ê ê,N,
ên,gân,M,
ết,"mốt, một",M,
Slíp ết,mười một,M,
Pác ết,trăm mốt,M,
ết,nhất,M,
Tai ết,thứ nhất,N,
ết slim,một lòng,M,
Fà,cái chăn,T,
Hốm Fà,đắp chăn,V,
Fà cộp,chăn kép,N,
Fà mèn,chăn bông,N,
Fà noỏng,chăn sui,N,
Fạ,trời,N,
Fạ fựn,sấm chớp,N,
Fạ khiếc,sét đánh,V,
Fạ mà,trời trở lại,V,
Fạ mjẹp,chớp,M,
Fạ ngoằm,bầu trời,N,
Fạ ngoằm,thiên hạ,N,time
Fạ Roọng,sấm,M,
Fạc,giát,M,
Fạc,"dãy, vạt, ven",N,
Fạc,vạt,M,
Fạc,ven,N,
Fạc ta,ven sông,N,place
Fạc fạc,phành phạch,N,
Fạc fạc,đành đạch,V,
Fài,nhúm,M,
Fài,nắm,M,
Fài,chèo,M,
Fài lừa,chèo thuyền,V,
Fai,vã,M,
Hứa Fai,vã mồ hôi,V,
Fai,vãi,M,
Fai,hạng,N,
Fai,ngữ,M,
Fai fạc,nhễ nhại,M,
Fai fạc,vương vãi,M,
Fam,động,N,
Fam,phạm,M,
Fam toọng,vùng bụng,N,place
Fan,Pháp,Np,
Fan,quay lại,V,time
Fan hua,quay đầu,V,time
Fan tao,trái lại,R,
Fàn fạc,phàn nàn,M,
Fàn lào,buồn phiền,M,
Fàn lào,phiền phức,N,
Fan,vạn,M,
Fan cân,vạn người,N,
Fản,phản,M,
Fản nả,trở mặt,V,
Fản nả,lật lọng,V,
Fàng,rạ,M,
Fàng lương,bệnh hoàng đản,N,
Fàng nòn,ngái ngủ,V,
Fạng,phang,M,
Fào,lốp,M,
Fáp,"bùa, phép",N,
Fáp,bắt quyết,V,
Fát,"cảm, ốm",CH,
Fát náp,bị còi,V,
Fát náp,ốm,M,
Fát slính,tức giận,V,
Fát slính,nổi giận,V,
Fát xài,phát tài,V,
Fạt,quát,M,
Fạt,đập,V,
Fạt nà,đập lúa,V,
Fạt,làm,V,
Fạt giang,làm hương,V,
Fặc,cây bí,N,
Chay Fặc,trồng bí,V,
Bjoóc Fặc,hoa bí,N,
Fặc,ấp,N,
Fặc đeng,bí đỏ,A,
Fặc moong,bí đao,M,
Fặc moong,bí xanh,A,
Făn,li,M,
Făn kim,một li vàng,N,
Făn,phân,M,
Făn făn,lăm le,N,
Făn fĩ,ngay lập tức,R,
Făn fĩ,tức khắc,M,
Fằn,giống,A,
Khảu Fằn,thóc giống,N,
Mu Fằn,lợn giống,N,
Fằn,răng,P,
Cắt Fằn,nghiến răng,P,
Fằn,chém,M,
Fằn fe,giống má,N,
Făn,phần,N,
Cáp Făn,góp phần,V,
Păn Făn,chia phần,V,
făn,chịu,V,
Bấu făn,không chịu,V,
Fẳn,phở,N,
Chin Fẳn,ăn phở,V,
Fẳn thèo,miến,M,
Fặn,chơi,V,
Fặn,nghịch,M,
Fặn đin,nghịch đất,N,
Fặn lỉn,chơi,V,
Fặn lỉn,nghịch,M,
Fằng,"mừng, vui",CH,
Fằng,động dục,M,
Mạ Fằng,ngựa động đực,N,
Fằng fầu,mừng rỡ,M,
Fặt,bật,V,
Fặt fầy,bật lửa,V,
Fặt lền,bật dây mực,N,
Fặt,đẻ,V,
Fặt,vật,M,
Pja Fặt,cá đẻ,V,
Fặt fay,lắc lư,V,
Fặt fay,vẫy vẫy,V,
Fặt fay,phấp phới,N,
Fấn,phần,N,
Fấn lai,phần nhiều,M,
Fấn,một số,L,
Fật fựng,lung lay,M,
Fật fựng,lúc lắc,V,
Fâu,tua,M,
Fâu còn,tua quả còn,V,
Fầy,lửa,N,
Tẻm Fầy,châm lửa,V,
Fầy,cây giâu gia,N,
Fầy phi,ma trơi,N,
Fè,"thứ, loại",N,
Fè lăng,thứ gì,P,
Fè fè,rì rào,M,
Fe,giống,A,
Khẩu Fe,thóc giống,N,
Fèn,rung,M,
Đin Fèn,động đất,N,
Fèn,nhúc nhích,N,
Fẹn fặt,dọn dẹp,V,
fiệc,việc,N,
fò,cái vò,T,
Foòng,sóng,N,
Nặm Foòng,nước nổi sóng,N,
Foỏng,vòng,N,
Foỏng teo,vòng trở lại,V,
Foọng,cái võng,N,
Vây Foọng,đu võng,M,
Fọp,hoảng sợ,V,
Fọp,cụt hứng,M,
Fọp mao,hoảng hốt,M,
Fộc,phù,M,
Kha Fộc,chân bị phù,V,
Fộc fựn,trở mình,P,
Fồm,nằm sấp,V,
Fồm lồng,nằm sấp xuống,V,
Fồm,ẩn nấp,N,
Fồm pạp,sấp bệt,M,
Fồm pạp,phủ phục,V,
Fồm pốp,nằm úp bụng,V,
Fổng,bùng lên,V,
Fổng fảng,vội vã,A,
Fộng,hốt hoảng,M,
Fộng fạng,xả láng,N,
Fộp fộp,bùng bùng,N,
Fột,vật,M,
Fột,vét,V,
Fột thôm,vét ao,V,
Fột,vớt,M,
fục,cói,N,
Co fục,cây cói,N,
fục,chiếu,N,
Phun fục,tấm chiếu,N,
Pjói fục,trải chiếu,V,
Fù,nổi,R,
Fù,trôi,V,
Fù,phù,M,
Fù,bệu,M,
Fù,bủng,M,
Nả Fù,mặt bủng,N,
Fù noòng,bánh trôi,V,
Fùm,cái go,T,
Fùm háng,go thưa,V,
Fung,bệnh tê thấp,N,
Fung,một gói,N,
Fung xàng,lạp xường,N,
Fuông,phương,N,
Tị Fuông,địa phương,N,place
Fuông,phong cảnh,V,
Chồm Fuông,xem phong cảnh,V,
Fừ fừ,vù vù,A,
Fứ,hỉ,M,
Fứ mục,hỉ mũi,V,
Fứ,vụt,M,
Fứ bên,vụt bay,V,
Fừn,củi,M,
Xa Fừn,kiếm củi,V,
Khiếc Fừn,bổ củi,N,
Fựn,lật,V,
Fựn,trở,V,
Fựn đang,trở mình,P,
Fựn,đổi,V,
Fựn bá,đổi vai,V,
Fựn fộc,trằn trọc,M,
FươI,liệt,M,
Pết FươI,vịt bị liệt,V,
Fương,phương,N,
Slí Fương,bốn phương,N,
Fường,cây quả khế,M,
Fường,bạnh cây,N,
Fường,vành máng,N,
Fứt fứt,phưng phức,N,
Fụt,chợt,R,
Fụt,bỗng,R,
Fụt chứ,bỗng nhớ,V,
Fụt lừm,chợt quên,V,
Fụt,bật,V,
Fụt,vụt,M,
Fựt fựt,bừng bừng,N,
Hà,òa,M,
Hà hà,khà khà,N,
Hà lạm,chiếm đoạt,M,
Hà lạm,lấn chiếm,M,
Hả,năm,M,
Hả cần,năm người,N,
Nhi Hả,hai lăm,N,
Hả,hử,M,
Hả,hở,T,
Há pả,dọa nạt,N,
Hạ,đưa xuống,V,
Hác,người Khách,N,
Hác,tự,P,
Hác hết,tự làm,P,
Hác,riêng,A,
Hác,một mình,X,
Hác dú,ở một mình,E,
Hác,sao,P,
Hai,trăng,N,
Hai khửn,trăng lên,V,
Hai món,trăng non,N,
Hai món,trăng lu,N,
Hai mồn,trăng tròn,N,
Hai vẹo,trăng khuyết,N,
Hài,"giày, dép",CH,
Nung Hài,đi giày,V,
Hài năng,giày da,N,
Hài xảo,giày cỏ,N,
Hải,biển,N,place
Khảm Hải,vượt biển,V,place
Hải,gặt lựa,V,
Hại,hại,M,
Hại,làm hại,V,
Hại,hãy,R,
Hại,nếu,C,
Hại đát,thương tâm,M,
Ham,khiêng,V,
Ham mu,khiêng lợn,V,
Ham,bắc sang,V,
Ham,vắt sang,V,
Ham háp,khiêng gánh,V,
Ham khoang,giữa chừng,E,
Ham khoang,nước đôi,N,
Hảm,giữ,V,
Hảm tị,giữ chỗ,V,
Hảm,lấn,M,
Hạm,hãm,M,
Hạm xe,hãm xe,N,
Hạm,ngăn cản,V,
Han,bọ nẹt,N,
Han,cây han,N,
Hàn,xót,M,
Mốc Hàn,ruột xót,N,
Hàn rạt,hơi rát,A,
Hán,con ngỗng,N,
Xáy Hán,trứng ngỗng,N,
Hán,lan,M,
Hán huống,chằng chịt,M,
Hạn,hạn,M,time
Hạn,kì hạn,N,time
Lẹo Hạn,hết hạn,V,time
Hạn sló,hạn độ,N,time
Hang,đuôi,N,
Hang cáy,đuôi gà,N,
Hang,dải,M,
Hang rặng,dải thắt lưng,N,
Hang,ngọn,N,
Hang ỏi,ngọn mía,N,
Hang,cuối,N,
Hang bươn,cuối tháng,N,time
Hang,út,A,
Lục Hang,con út,N,
Hang,sau,N,
Tam Hang,tiếp sau,V,
Hang,"xào, nấu",CH,
Hang phjắc,nấu rau,V,
Hang hỏi,út ít,A,
Hang hỏi,sau chót,N,
Hang pjên,tấm,Nc,
Hang pjên,đuôi sam,N,
Hang pjên,cái roi,T,
Hang rì,đi ngoại tình,V,
Hảng,đeo,V,
Hảng rặng,đeo thắt lưng,V,
Hảng,đóng,V,
Hảng,thắng,V,
Hảng,chực,M,
Hảng rại,chực hờn dỗi,V,
Hảng,cài bẫy,V,
Hảng cắp,đặt bẫy,V,
Hảng,thắng,V,
Háng,chợ,N,place
Háng,thưa,V,
Slan Háng,đan thưa,V,
Phải Háng,vải thưa,V,
Háng xạ,hàng xã,N,place
Hạng,những,L,
Hao,hao hụt,N,
Háo lồm,ngáp,M,
Hào,hào,M,
Hảo,khô,A,
Hảo bẩu,khô non,A,
Hảo bẩu,dở hơi,R,
Hảo hỉ,tốt lành,M,
Hảo huốt,bình an,N,
Hảo huốt,tốt lành,M,
Hảo lai,khá nhiều,A,
Hảo lai,tương đối,A,
Háp,gánh,M,
Hạp,hợp,M,
Hạp minh,hợp số,N,
Hát,ghềnh,M,
Hát ta,ghềnh sông,N,place
Hát,hét,M,
Háu,sủa,M,
Háu váp,sủa càn,N,
Hảy,khóc,V,
Đếch Hảy,trẻ con khóc,V,
Hảy bốn,phát khóc,V,
Hảy hổm,khóc lóc,V,
Hảy lại,khóc dai,V,
Hảy lằn,khóc lăn lóc,V,
Hảy phi,khóc ma,V,
Háy,gõ,M,
Hạy,nếu,C,
Hạy,cứ,R,
Hắc,bẻ,V,
Hăm,dái,M,
Hằm hằm,lăm lăm,M,
Hẳm,"chặt, chém",M,
Hẳm đúc,chặt xương,N,
Hẳm bẩu,chém đầu,V,
Hăn,thấy,V,
Hăn bươn,hành kinh,N,
Hăn phi,gay go,N,
Hẳng,"chịu, vừa lòng",CH,
Hắp,đóng,V,
Hắp tu,đóng cửa,M,
Hắp,đắp,V,
Hắp phai,đắp đập,V,
Hắp,gấp lại,V,
Hắp sléc,gấp sách lại,V,
Hắp,hiệu nghiệm,M,
Hắt,sạn,N,
Hắt xời,hắt hơi,V,
Hấc lờ,lơ đãng,M,
Hậm,hẩm,M,
Hâng,lâu,A,
Hâng hâng,thỉnh thoảng,R,
Hang rì,lâu dài,A,
Hâu,con chấy,N,
Hâu,"họ, người ta",P,
Hâu,tớ,M,
Hâu,ta,P,
Hâu,mình,P,
Hẩu,hủi,M,
Pền Hẩu,bị bệnh hủi,V,
Đông Hẩu,rừng có hủi,V,
Hâu,đâu,P,
Pây Hâu,đi đâu,P,
Hâu,nào,P,
Nghé Hâu,cái nào,P,
Ti Hâu,nơi nào,P,place
Hẩư,cho,E,
Hẩu,nào,P,
Hây,ta,P,
Boong Hây,chúng ta,P,
Hấy,cày cấy,V,
Hấy,làm,V,
Hấy nà,làm ruộng,V,
He,nhát,M,
hè hè,cười hì hì,V,
hé,chái,M,
hé rườn,chái nhà,N,place
héc,cái chảo,N,
Héc phjắc,chảo xào rau,N,
Héc vài,chảo to,N,
Hém,bã rượu,N,
hém,mẻ chua,N,
hém nựa,mẻ ngâm thịt,N,
hém pja,mẻ ngâm cá,N,
Hen,bệnh hen,N,
Hen,chăn,M,
Hen vài,chăn trâu,V,
Hen pết,chăn vịt,N,
Hẻn héo,khô héo,M,
hén,hèn mạt,M,
Hẹn,hẹn,V,
Tò Hẹn,hẹn nhau,V,
Hẹn,thời hạn,M,time
Heng,giọng,N,
Heng,tiếng,N,
Heng,âm thanh,N,
heng,"hanh, khô lạnh",A,
Héo,gầy,M,
Mạ Héo,ngựa gầy,N,
Héo,nhăn nheo,N,
héo đíp,làng nhàng,N,
Héo ngánh,gầy đét,M,
héo ngắng,gầy guộc,M,
héo nháp,gầy còm,M,
héo nhỉu,gầy nhom,M,
Hép,cái hái ngắt,V,
Hép,khản,M,
cò Hép,khản cổ,N,
Hép,khàn,M,
Heng Hép,giọng khàn,N,
Hên,cáo,M,
Hên khản,cáo bạc má,N,
Hên ma,cáo chó,N,
Hên mèo,cáo mèo,N,
Hên moòng,cây hương,N,
Hên phẻo,con báo,N,
Hết,làm,V,
Hết nà,làm ruộng,V,
Hết chá,giả vờ,M,
Hết chồm,đùa,V,
Hết chồm,cho vui,E,
Hết còn,lĩnh canh,V,
Hết cướp,làm kẻ cướp,V,
Hết khỏi,làm đầy tớ,M,
Hết khươi,làm rể,V,
Hết chin,làm ăn,V,
Hết lặc,ăn cắp,M,
Hết nả,làm sĩ diện,N,
Hết nha,hờn dỗi,N,
Hết ỏn,làm nũng,V,
Hết rại,dỗi,M,
Hết rừ,làm sao,X,
Hết rừ,thể nào,P,
Hết slướng,làm dáng,V,
Hết slướng,trang điểm,M,
Hi,âm hộ,N,
Hỉ hả,hể hả,T,
Hí,losợ,M,
Hí bôn,khí hậu,M,
Hí hon,lo lắng,V,
Hỉa,đổ,V,
Hích,thiếc,M,
Hiến,hiền lành,A,
Hiêng,hơ,M,
Hin,đá,N,
Hin cáy,đá bia mộ,N,
Hin lặp,đá mài,N,
Hin fầy,đá lửa,V,
Hin phon,đá vôi,M,
Hin fong,nhũ đá,N,
Hin slảng,đá tảng,N,
Hin slẩu,đầu rau,N,
Hinh hỏi,con đom đóm,M,
Hình,thắng,V,
Hình,lấy được,V,
Hình mồn,hình tròn,N,
Híp,gắp,M,
Hỉu,xách,V,
Hỉu cuôi,xách cái sọt,V,
Hỉu,tha,V,
Híu,giỏi,A,
Slon Híu,học giỏi,V,
Híu,lanh lợi,N,
Hò,thằng,P,
Hò slấc,thằng giặc,N,
Hò,đứa,Nc,
Hò pjạ,thằng mồ côi,P,
Hỏ,họ,P,
Hó,gói,M,
Hó pẻng,gói bánh,V,
Họ,họ,P,
Hoa mì,chim họa mi,P,
Hoa nèo,cây nêu,V,
Hoi,ốc,M,
Hoi,tàn,V,
Hoi,đuối,A,
Hoi khuổi,ốc vặn,V,
Hoi nà,ốc ruộng,N,
Hoi ngưa,ốc sên,N,
Hoi pít,ốc bươu,M,
hòi,trở lại,V,
hòi,trả lại,V,
hòi,đáp lại,V,
Hòi cằm,nhắn tin,V,
Hỏi,cái móc treo,V,
Hỏi,treo,V,
Hỏi luậy,chi chít,M,
Hói,gõ,M,
Hói moong,gõ mõ,V,
Hỏi dò,ái chà,M,
Hom,thơm,A,
Hom,xúm lại,V,
Hom đeng,rau tía tô,N,
Hom hem,thơm tho,M,
Hom hem,gần được,V,
Hom hủ,rau húng,N,
Hom ngứt,thơm phức,M,
Hom phứt,thơm ngát,M,
hòm,cái hòm,N,
Hỏm,xúm,M,
hóm,liền da,N,
Hon,mào,M,
Hon cáy,mào gà,N,
Hon,con hon,N,
Hón,quả bồ hòn,N,
hoỏng,ngăn,M,
hoỏng,gian,N,
hoỏng rườn,gian nhà,N,place
hỏp,cây hóp,N,
họp,cái hộp,N,
hồ hà,hổn hển,N,
hốc,sáu,M,
hốc cần,sáu người,N,
hốc pác,sáu trăm,M,
hộc hạc,lấc cấc,N,
hối,lúc,N,time
hối,hồi,N,
hồm hồm,hừng hực,M,
hồm hồm,bừng bừng,N,
hổm,đội,N,
hổm mu,đội mũ,N,
hổm khân,đội khăn,N,
hốm,đắp,V,
hốm phà,đắp chăn,V,
hôn dùng,vui sướng,A,
hôn dùng,vui vẻ,A,
hôn hỉ,vui vẻ,A,
hộn,nhốn nháo,N,
hộn,rạo rực,N,
hộn,lộn xộn,M,
hộn hạo,cồn cào,V,
hông,he,M,
mảy hông,măng he,N,
hông,nồng,M,
hông,hăng,M,
hông cò,khé cổ,N,
hốt,co,V,
phải hốt,vải co,V,
hốt,rụt,M,
hớ,hở,T,
tu hớ,cửa để hở,T,place
hớ,để lộ,E,
hở cơ,sơ hở,M,
hơi,mùi,N,
hơi lẩu,mùi rượu,N,
hơi,tí,M,
hợi,hợi,M,
pi hợi,năm Hợi,N,time
hợi,hỡi,M,
hơn,hơn,A,
hu,cây hu,N,
hù,hợp lại,V,
hù,ù,M,
pài hù,bài ù,N,
hù chỉ,cùng lắm,R,
hù hù,bùng bùng,N,
hủ,quả đùm đũm,N,
hú,gọi,V,
hú,gào,M,
hú,ôi,T,
hua,đầu,N,
hua càn,đầu đòn gánh,N,
hua bản,đầu bản,N,
lục hua,con đầu lòng,N,
hua,sớm,A,
hua bau,nghịch ngợm,N,
hua châư,quả tim,N,
hua coóc,gạo dặt,N,
hua đăm,đầu người,N,
hua hang,đầu đuôi,N,
hua kháu,đầu gối,M,
hua mả,đang lớn,A,
hua mầu,váng đầu,N,
hua món,cây bồ đề,N,
hua mu,cái mõm,T,
hua sluốn,củ tỏi,N,
hùi,tiếng đuổi trâu,N,
húm,trùm,N,
hún,dấu vết,N,
hung,thổi,V,
hung khẩu,thổi cơm,V,
hung hang,nấu nướng,V,
huổm,trùm,N,
huông,giữ,V,
huông cúa,giữ của,E,
huông hảm,giành giữ,V,
huốt,nhàn nhã,N,
hứ hứ,hề hề,T,
hưa,giúp,V,
hưa pang,giúp đỡ,V,
hứa,mồ hôi,N,
hứa tốc,mồ hôi rơi,V,
hứn,thích,V,
hươn,nơi,N,place
hướt,ngớt,M,
phôn hướt,mưa ngớt,N,
hướt,nín,M,
hướt hảy,nín khóc,V,
ỉ,bé,N,
noọng ỉ,em bé,N,
ỉ,tí,M,
ỉ,chốc,N,
ỉ nhít,tí tẹo,N,
ỉ them,chút nữa,L,
ỉ xit,tí tẹo,N,
í,i ỉ,N,
ím,no,A,
chin ím,ăn no,V,
ím,đẫy,M,
nòn ím,ngủ đẫy giấc,V,
ím,chán,M,
ím pè,no nê,M,
ím pứng,no căng,V,
inh,ưng thuận,N,time
inh,dựa,V,
inh ém,dựa dẫm,M,
inh fẳn,đáng lẽ,V,
ính,hiệu nghiệm,M,
íp,nhặt,V,
íp,"hái, ngắt",CH,
íp chè,hái chè,V,
ít,quả nho,N,
ít,cây nho,N,
ke,nghịch,M,
ke,cắt,V,
ke,chỗ,N,
ke rộc,chỗ rậm rạp,N,
kẻ,cởi,V,
kẻ slửa,cởi áo,V,
kẻ,thả,V,
kẻ vài,thả trâu,V,
kẻ,giải,N,
kẻ cang,cởi trần,V,
kẻ cụm,cởi truồng,V,
ké,già,A,
cần ké,người già,N,
ké,ông,Nc,
ké,cũ,A,
khẩu ké,thóc cũ,N,
ké căng,già cả,T,
ké căng,già khọm,M,
ké ngắng,già đơ,M,
ké ngắng,già cốc đế,M,
kẹ,mặc kệ,V,
kéc,ngăn,M,
kéc,tách,M,
kéc lé,cách ly,M,
kẻm,cái má,N,
kẻm mjầu,quai hàm,N,
kẹm,kẽm,M,
boóc kẹm,ống bằng kẽm,N,
ken,thang néo,N,
kèn,đau buốt,V,
kèn,tức,M,
kèn,khó coi,V,
kén,cứng,A,
ỏi kén,mía cứng,N,
pác kén,nỏ mồm,N,
kẹn,nghẹn,M,
kẹn,mắc,M,
kẹn cực,nghẹn ngào,V,
keng,cái dốc,N,
keng,canh,M,
nặm keng,nước canh,N,
hang keng,nấu canh,V,
keng,đào,V,
keng kéo,núi đèo,N,place
kèng,nghiêng,M,
nòn kèng,nằm nghiêng,V,
kèng dang,nghiêng người,V,
kèng,liếc,M,
kèng tha,liếc mắt,V,
kèng,chếch,M,
đét kèng,nắng chếch,N,
kèng xu,lắng tai,V,
keng,cẳng chân,M,
keng tắc,gẫy cẳng,N,
kẻng,dùng que gạt,V,
kéng,quang,M,
kéng đét,quang nắng,V,
kẹng,tháo nước,V,
kẹng nà,tháo nước ruộng,N,
keo,Kinh,Np,
cần keo,người Kinh,Np,
phuối keo,nói tiếng Kinh,Np,
keo,quấn leo,V,
kẻo,cái kéo,N,
kẻo,kéo,V,
kéo,cái đèo,N,
kéo slung,đèo cao,N,
khửn kéo,lên đèo,V,
kéo,liếc,M,
kéo cá,sáo sậu,N,
kẹo,nhai,V,
kẹo khẩu,nhai cơm,V,
kép,trấu,M,
kép,kíp,M,
kép,viên,Z,
kép ngọa,viên ngói,N,
kẹp kè,ốm yếu,N,
két,ghét,M,
kềm,mặn,A,
chin kềm,ăn mặn,V,
kềm,gay gắt,M,
kềm slạt,mặn chát,M,
kếnh,giác,M,
quang kếnh,nai giác,M,
kếnh kếnh,chang chang,N,
kếnh kếnh,oang oang,N,
kếp,nhặt,V,
kếp khuế,nhặt nhạnh,V,
kết,vẩy,M,
kết pja,vẩy cá,N,
kết lin,vẩy tê tê,N,
kết,cúc,M,
kết slửa,cúc áo,N,
kha,chân,N,
kha cáy,chân gà,N,
kha choòng,chân bàn,N,
kha,chân giò,N,
kha mu,chân giò lợn,N,
kha,chiếc,Nc,
kha thú,chiếc đũa,N,
kha,dòng,N,
kha loong,dòng suối,N,
kha,con,N,
kha tàng,con đường,N,place
kha,ống,N,
kha khóa,ống quần,N,
kha,"cân, cân đối",CH,
kha,xứng đôi,N,
kha bản,nhà quê,M,place
kha cặt,xà cạp,M,
kha còn,không cân,V,
khả,giết,V,
khả non,giết sâu bọ,M,
khả cáy,thịt gà,N,
khả mu,mổ lợn,V,
khả,chém,M,
thai khả,chết chém,V,
khả,tẩy trừ,V,
khả mui,tẩy mùi,V,
khả,xóa,M,
khả tèng,giết chóc,M,
khá,cây riềng,N,
khá,gả,V,
khác khác,cười ha hả,V,
khạc,nhổ,V,
khạc ngạp,nhổ đờm,V,
khạc phì,khạc nhổ,V,
khai,bán,V,
khai phjắc,bán rau,V,
khai,gả,V,
khai,bắt đầu,V,
khai dự,mua bán,V,
khai đoản,bán đứt,V,
khai khỉ,viện cớ,N,
khai lịch,bán chịu,V,
khai tẻm,cầm cố,V,
Khai tuột,bán buôn,M,
Khai xá,bán hớ,V,
Khái,chặng,M,
Khái tàng,chặng đường,N,place
Khái nan,quãng khó khăn,N,
Khái,sự việc,N,
Мас Kham,quả chua me,N,
Khảm,sang,V,
Khảm tàng,sang đường,V,place
Khảm,qua,V,
Khảm cấu,qua cầu,V,place
Khảm,vượt,V,
Khảm kéo,vượt đèo,V,
Khảm,khám,V,
Khảm pinh,khám bệnh,V,
Khảm,kiểm tra,V,
Khảm,ken đè,V,
Khảm hảI,vượt biển,V,place
Khảm sloong,nong đôi,N,
Khan,đáp lời,V,
Khản,xem,V,
Khang,gang,M,
Khang lếch,gang thép,N,
Khang,căng,M,
Khang slút,căng màn,V,
Khang,chăng,R,
Khang lền,chăng dây,N,
Khang,mở,V,
Khang,xòe,M,
Khang chăm,con gọng vó,M,
Khang khá,giạng háng,N,
Khảng,tảng,M,
Khảng,khúc,M,
Kháng,tháo,V,
Kháng thôm,tháo ao,V,
Kháng,sấy,M,
Khao,trắng,A,
Slửa Khao,áo trắng,N,
Vài Khao,trâu trắng,N,
Nựa Khao,da trắng,N,
Khao,bạc,N,
Phjôm Khao,tóc bạc,N,
Khao bjỏi,trắng ngần,M,
Khao fầu,bạc phơ,N,
Khao kheo,xanh xao,A,
Khao mjạn,trắng hếu,M,
Khao ón,trắng nõn,M,
Khao xoác,trắng dã,M,
Khào,cãi vã,M,
Khảo,cây kháo,N,
Khảo,tra khảo,N,
Khảo đả,tra xét,V,
Khảo khinh,cây màng tang,N,
Kháo,cạo,M,
Kháp,khớp nhau,V,
Khát,đứt,V,
Lền Khát,dây đứt,V,
Khát châu,đứt hơi,V,
Khát,rách,A,
Slửa Khát,áo rách,N,
Khát,dứt khoát,M,
Phuối Khát,nói dứt khoát,V,
Khat dăng,tái mét,Nu,
Khát doài,rách rưới,M,
Khát khét,rách nát,M,
Khát khỉ,kiệt sức,M,
Khát lào,kiệt sức,M,
Khát mừ,đứt tay,V,
Khát mừ,mất mát lớn,N,
Khát nhắng,rách bươm,M,
Khát pứng,đứt phựt,V,
Khát pứng,dứt khoát,M,
Khát slạt,nói rành rẽ,V,
Khau,núi rừng,M,place
Khau khuổi,núi sông,N,place
Khau khuổi,vùng núi,N,place
Khau phja,núi rừng,M,place
Khảu,vào,E,
Khảu rườn,vào nhà,V,place
Khảu,bênh,M,
Khảu cò,bênh vực,N,
Khảu cỏ,có kết quả,V,
Khảu đang,nhập thân,V,
Khảu lo,đúng cách,N,
Khảu slẩy,chấp vặt,N,
Khảu slẩy,tự ái,P,
Khảu slim,ghi nhớ,M,
Khảu xu,nghe lời,V,
Kháu,đầu gối,M,
Quy Kháu,quỳ gối,N,
Khay,mở,V,
Khay tây,mở túi,V,
Khay tha,mở mắt,V,
Khay tàng,mở đường,V,place
Khay công,khởi công,M,
Khắc,"khấc, nhấn",CH,
Khắc,xung khắc,M,
Khăm,râm,M,
Fạ Khăm,trời râm,N,
Ngàu Khăm,bóng râm,N,
Khăm,sa sầm,N,
Nả Khăm,mặt sa sầm,N,
Khăm kheo,râm mát,N,
Khăm kheo,trở trời,V,
Khăm lồng,tắt nắng,V,
Khẳm,thẫm,M,
Khẳm khẳm,đỏ thẫm,M,
Lương Khẳm,vàng thẫm,N,
Khắm,hỏi,V,
Xam Khắm,hỏi han,M,
Khắm tàng,hỏi đường,V,place
Khăn,gáy,M,
Khăn,hót,M,
nộc Khăn,chim hót,N,
Khăn mản,gáy loạn,N,
Khăn rặm,gáy dồn,V,
Khẳn,khen,V,
Khẳn khẳn,mãi mãi,R,
Khẳn on,khen ngợi,M,
Khắn,khắm,M,
Khắn rạt,nồng nặc,M,
Khắt,cài,M,
Khắt,chốt,M,
Khắt tu,chốt cửa,V,
Khắt chảu,trâm cài tóc,N,
Khắt khi,hà tiện,M,
Khắt khi,keo kiệt,N,
Khân,khăn,N,
Khân cộ,khăn xếp,V,
Khân nả,khăn mặt,N,
Khân puông,khăn vuông,N,
Khẩu,lúa,N,
Khẩu lả,lúa muộn,N,
Khẩu,thóc,N,
Khẩu,gạo,N,
Tăm Khẩu,giã gạo,V,
Khẩu,cơm,N,
Khẩu chăm,lúa tẻ,N,
Khẩu chăm,thóc tẻ,N,
Khẩu chăm,gạo tẻ,N,
Khẩu chăm,cơm tẻ,N,
Khẩu hua,lúa sớm,N,
Khẩu lam,cơm lam,N,
Khẩu màn,lúa có đòng,V,
Khẩu mẩu,cốm,M,
Khẩu mấu,cơm mới,N,
Khẩu mẩy,cơm cháy,V,
Khẩu mẹc,lúa mạch,N,
Khẩu nặm,lúa gạo,M,
Khẩu nua,lúa nếp,N,
Khẩu nua,thóc nếp,N,
Khẩu nua,gạo nếp,N,
Khẩu nua,cơm nếp,N,
Khẩu phảng,kê,M,
Khẩu rây,lúa nương,N,
Khẩu rẹ,cơm tẻ,N,
Khẩu rẹ,thóc tẻ,N,
Khẩu slan,gạo,N,
Khẩu slan,bệnh sán lợn,N,
Khẩu sli,bánh bỏng,M,
Khấư,khô,A,
Phjác Khấư,phơi khô,V,
Khấư,hết sạch,V,
Chin Khấư,ăn hết sạch,V,
Khấư,khát,M,
Cò Khấư,khát nước,V,
Khấư,mong mỏi,V,
Khấư khoáng,khô ráo,M,
Khấư khuých,khô cong,A,
Khấư phức,khô không khốc,R,
Khấư phức,khô khốc,M,
Khây,cái chỗ,N,
Khẩy,"ốm, sốt",CH,
Pền Khẩy,bị ốm,V,
Khẩy ấu,ốm lửng,N,
Khẩy chếp,ốm đau,M,
Khẩy mầu,ốm yếu,N,
