tay,viet
Tả cẩn,do dự
Tua cần tả cẩn hết lăng bấu lập hâu,con người do dự làm gì cũng không kịp người ta
Tả cẩn,trách nhiệm
"Vằn vằn pây liệu loa, bấu hăn mì tả cẩn mòn lăng","ngày ngày đi lêu lổng, không thấy có trách nhiệm việc gì"
Tả là xỉ,viện cớ
tả là xỉ mừ chếp bấu hết đảy fiệc,viện cớ đau tay không đi làm
Tả làn,can ngăn
tả làn mí hẩư pin mạy,can ngăn không cho trèo cây
Tả lìa,"bỏ rơi, xa, cách"
tả lìa lia lục lan,bỏ rơi con cháu
tả lìa đin nhả,xa cách quê hương
Tả rạng,"bỏ dở, làm dang dở"
Bjai sluôn tả rạng,làm cỏ vườn bỏ dở
Tả sle,bỏ lại
Mjề pây tả sle hẩu phua sloong tua lục,"vợ đi, bỏ lại cho chồng hai đứa con"
Tả slống,"biếu, tặng"
tả slống pi noọng cằm lượn,tặng bà con bài lượn
Tả sluổn,"tính toán, kể đến"
Bấu tả sluổn,không tính đến
Tả sluổn,chấp nhận
Khai lẹo vài tó tả sluổn,bán hết trâu cũng chấp nhận
Tả tiểm,đếm xỉa
Bấu tả tiểm thâng fiệc nấy,không đếm xỉa đến việc này
Tả tiểm,xét nét
Tác,bụng
Tác,ngả
pjiếng pha tác oóc,tấm phên ngả ra
Tàng mịn chạt kha tác khiếc,"đường trơn, trượt chân ngã ngửa"
thâng pưa chắc te pjàng chẳng tác ngai dú,đến khi biết nó lừa mới ngã bổ ngửa ra
Tác tẹo,"quay lại, trở lại"
pây pjoong tàng chẳng tác tẹo mà,đi nửa đường mới quay lại
Tạc,con vắt
chang đông mì lai tạc,trong rừng có nhiều vắt
Tạc,đo
"tạc thôm, nà","đo ao, ruộng"
Tạc kheo,vắt xanh
Tách,trách
Hết bấu đây mẹn tách,làm không tốt bị trách
Tài,"đỡ, nâng"
tài tứn tài nòn,nâng dậy nâng nằm
noọng lộm pí tài tứn,em ngã chị đỡ em ngồi dậy
Tài cha,cùng nhau
tài cha chin,ăn cùng nhau
Tài châư,thở
tài châư nắc,khó thở
Tài hang,tâng bốc
Phuối tài hang cắn,nói tâng bốc nhau
Tài hang,đỡ lời
Tài kha,nịnh hót
Boong te tài kha căn,chúng nó nịnh hót nhau
Tài lạo pản,phú thương
Tài pả,"nhiều, vô khối"
Ngần chèn mì tài pả,tiền bạc có nhiều vô khối
Tài slung,nâng cao
tài slung chin dú,nâng cao mức sống
Tài tảm,"gan dạ, dũng cảm"
bộ đội tài tảm,bộ đội dũng cảm
cần tài tảm chẳng đi pắt ngù,người gan dạ mới dám bắt rắn
Tài xáy,"tha hồ, thả cửa"
tài xáy chin,tha hồ ăn
tai ết,thứ nhất
tai cải,to quá
tai nòn lai,ngủ nhiều quá
Tại cải,"to lớn, quan trọng"
Hết rườn le fiệc tại cải,làm nhà là việc rất quan trọng
Tại vạ,"ba hoa, nói phét"
Phuối tại vạ,nói ba hoa
Tải,buộc ngang
Lam tải quá toọng,buộc ngang qua bụng
Tải,đeo
tải tây,đeo túi
tải xảng,đeo bên sườn
Tải,mang theo
tải lục mừa dương tái,mang con về thăm bà ngoại
Tải,dẫn
tải đếch pây háng,dẫn con đi chợ
Đảng tải tàng hết chin,Đảng dẫn đường làm ăn
Tải càng,mắc cằm
hổm mu tải càng,đội mũ cài quai vào cằm
Tải càng,quai nón
Nhuốt tải càng,râu quai nón
Tải đang,có mang
tải đang đảy slam bươn dá,có mang được ba tháng rồi
Tài ngào,khổng lồ
Cần tài ngào,người khổng lồ
Tải ỏng,cái óng
tải ỏng éc vài,cái óng ách trâu
Tải tầu,dẫn đầu
đảng viên tải tầu hêt cón,đảng viên dẫn đầu gương mẫu
Tải tầu,đầu têu
tua hâư tải tầu hết cón,đứa nào đầu têu nghịch trước?
Tải tinh,công khai
tải tinh αυ,công khai lấy
Tải tinh,cố tình
tải tinh bố pây,cố tình không đi
Tál,bà ngoại
lan mừa dương tál,cháu về thăm bà ngoại
Tál,mẹ vợ
khươi mừa chầu tál,"con rể về thăm, biếu bà ngoại"
Tại,"kéo, lôi"
vài tại xe,trâu kéo xe
tại bằng pè khửn hát,kéo bè lên ghềnh
Tại,"tại, vì, do"
"tại nắm chướng đông, khuổi chẳng bốc",vì không giữ rừng nên suối mới cạn
tại thả chài khẩu phjắc đảng,vì chờ anh nên cơm canh nguội
Tam,nối
tam cái lền,nối sợi dây
tam hang căn pây,nối đuôi nhau đi
Tam,đơm
tam kết slửa,đơm cúc áo
Tam,tra
Tam,làm mối
tam sloong cần đuổi căn,làm mối cho hai người
Tam,này đến khác
chin pát tam pát,ăn bát này đến bát khác
Tam hang,nối đuôi
tam hang hang căn pây,nối đuôi nhau đi
Tam hang,tiếp theo
Tam tó,"nối tiếp, nối liền"
Rườn tam tó rườn,nhà nối liền nhà
Tam tó,bịa đặt
Tua pác lai tam tó pền tuyện,đứa lắm mồm bịa đặt thành chuyện
Tàm,nói nhiều
hăn cần tàm quá,nghe người ta nói qua rồi
Tàm,trêu
tò tàm căn,trêu nhau
Tàm quàng,nói bậy
Te tàm tàm quàng,nó nói bậy
Tàm quàng,nói mê
Chang cừn nòn tàm quàng,nửa đêm nói mê
Tàm tình,bình tĩnh
Chổng pè lồng hát lèo tàm tình,đưa bè xuống thác phải bình tĩnh
Tảm,đám
nựa đăm pền tảm,da nổi đen thành đám
Tảm,vết hằn
lăng mì sloong tảm,lưng có hai vết hằn
Tan,hái
tan khẩu mẩu,hái lúa làm cốm
tan khẩu rây,hái lúa nương
Tan,thu hoạch
tan nà,thu hoạch lúa
Tan,"đơn, lẻ"
Thân tan,thân đơn
phà tan,chăn đơn
Tan chích,đơn chiếc
Tan tắp,thu hoạch
Tan vị,"vị, ngài"
tan vị quan làng,ngài quan lang
tan vị pả mẹ,vị dẫn dâu
tan vị khéc lạ,vị khách lạ
Tàn,đập
Slim tàn,tim đập
Tàn,hồi hộp
Mốc tàn,lòng hồi hộp
Tàn,"gẩy, đánh"
tàn tính,gẩy đàn tính
Tàn,dồn
Cáy khăn tàn,gà gáy dồn
Tàn tạc,bồn chồn
"Chắc tin lục pền khẩy, mẹ oóc mốc slẩy tàn tạc","nghe tin con ốm, mẹ trong lòng bồn chồn"
Tản,đá
chếp bặng mạ tản,đau như ngựa đá
Tản,bật
Tản,"tán, nghiền"
tản hạt tiêu,tán hạt tiêu
Tán,san
tán đin,san đất
Tán,bới
Cáy tán,gà bới
Tán,"chỉ, riêng"
tán cần toọc,chỉ một mình
tán mác cưởm đai,chỉ có trám không
"vằn hâu tố pây nà, tán vằn nẩy phạ phôn chẳng dú rườn","ngày nào cũng đi ra ruộng, chỉ có hôm nay mưa mới ở nhà"
Tạn,"không nổi, quá mức"
"Háp khẩu nắc quả, tạn bấu háp tứn",gánh thóc nặng quá không gánh nổi
Tang,"tang chứng, tung tích"
Pây bấu hăn tang,"đi biệt tăm, không còn tung tích"
Tang,"thay, thay mặt"
tang nả pi noọng,thay mặt bà con
Tang,trừ bữa
chin mác tang tón,ăn quả trừ bữa
Tang,coi như
"Pây nặm tang pây áp, lạng pát tang dào mừ","đi gánh nước coi như đi tắm, rửa bát coi như rửa tay"
Dú rườn tang bấu dú,ở nhà coi như không ở
"Ngần chèn tang tôm nhả, tha nả tảy xiên kim","vàng bạc coi như cỏ rác, danh dự đáng ngàn vàng"
Tang quả,"nhân thể, nhân tiện"
Pây thư nà tang quả au mạy lọm sluôn,đi cày nhân tiện lấy cây rào vườn
tàng pây teo,đường đi lại
tàng mây,đường chỉ
tàng hết chin,con đường làm ăn
táng cần táng tàng pây,mỗi người đi một ngả
tàng hết chin,cách làm ăn
hò nẩy bẩu chắc lăng slắc tàng,thằng này không biết thứ gì
Tang chửng,chửng
Nựn tang chửng,nuốt chửng
tàng nà,dùng trâu đạp lúa
Vài tàng đin hết ngọa,trâu đạp đất để làm ngói
Tàng bốc,đường bộ
Tàng cáp,"ngã ba, ngã tư"
Tàng dàu,đường thẳng
Tàng lệch,đường sắt
Tàng luông,đường cái
Tàng nặm,đường thủy
Tàng sloóc,đường lối
Tảng,"che, che lấp"
cáng mạy tảng ngòi mí hăn,cành cây che khuất không nhìn thấy
Tảng,"đỡ, chắn"
Tảng táng,táng
Tảng slừ,"cũng như, coi như"
Pây chin lẩu tảng slừ chin hàng chá băt,ăn cưới coi như đi ăn hàng giá cao
hết pện tảng slừ bấu hết,làm thế coi như không làm
Táng,"cửa ra sân phơi, cửa sổ"
năng táng nao lồm,ngồi ở cửa hóng mát
Ngàu hai khẩu táng,trăng in bóng vào cửa sổ
Táng,tự
hết táng chin,"tự làm tự ăn, tự cấp tự túc"
Táng,khác
ăn nẩy le táng,cái này thì khác
Táng,riêng
táng dú,ở riêng
Táng,"mỗi, mỗi một"
táng cần táng hêt,mỗi người làm riêng
táng cần táng pây,mỗi người đi một đường
Táng chặc,cửa sổ
Táng răng,"khác nào, khác gì"
chài xảu noọng táng răng,anh với em khác gì nhau
Chài dự táng răng noọng dự,anh mua khác nào em mua
Tạng,"trạng, trạng nguyên"
thi đảy tạng,thi đỗ trạng nguyên
tạng quy dú nả vua tình tấu,trạng quỳ trước mặt vua trình tấu
Tạng,máng tháo nước
Tạng,dáng
ти tạng rì,lợn dáng dài thân
Tao,cây đao
Tào,cây đào
bjoóc tào,hoa đào
mác tào,quả đào
Tào,đào
tào xum nặm mạy,đào hố trồng cây
Tào,vo
tào khẩu,vo gạo
Tào,đãi
tào thúa,đãi đỗ
Tào fu,đậu phụ
Tao,thầy cúng
Tạo lị,"lí lẽ, đạo lí"
Hết bấu mì tạo lị,làm không đúng đạo lí
Tao thất,"ngược, trái ngược"
hắc tao thất,bẻ ngược lại
khoen kha tao thất,treo chân ngược lên
Tao tinh,"con cung quăng, bọ gậy"
Rườn táo,nhà đổ
Táo ngáng,ngã chồng kềnh
Táo ngáng,"ngã gục, chống kềnh"
vài lằn táo ngáng,trâu ngã chồng kềnh
Táo tính,đổ ngổn ngang
Bại co bắp táo tính,những cây ngô đổ ngổn ngang
Tạo,"cong, vênh"
Táp,dán
táp chỉa đeng chin nèn,dán giấy đỏ ăn tết
Táp,thay phiên
táp căn pây chực rây,thay phiên nhau đi canh nương
Táp,tiếp
Tua táp tua,con tiếp con
Dự mu mà táp làng,mua lợn về nuôi tiếp
Táp,nối dõi
Tơi lục táp tơi po,đời con nối dõi đời cha
Tơi táp tai,nối tiếp đời đời
Táp,tát
táp khảu nả,tát vào mặt
Táp,"vồ, vụt"
táp căm mừ,vụt túm tay
Táp cháo,biếng giẻ
Táp mèng,vỉ ruồi
Fiệc quan ham táp ná,việc quan như khiêng mo nang
Táp pai,bả vai
Táp phe,"tát, bạt tai"
Tạp,đạp
kha tạp khảu tu,chân đạp vào cửa
tạp xe quá vằn,đạp xe suốt ngày
Tạp tòa,cái trang cào thóc
Tát,thác nước
Tàu,"tàu, chuồng"
tàu mạ,chuồng ngựa
Tàu bên,máy bay
Táu,dụ dỗ
táu au chèn,đòi lấy tiền
Táu,tán tỉnh
Slao báo táu căn,trai gái tán tỉnh nhau
Táu,xào chua
Táu láu,nằng nặc
Lục táu láu toi au chèn,con nằng nặc đòi tiền
Tạu,"sắm, tậu"
tạu vài hết nà,mua trâu làm ruộng
Tày,người Tày
Tày,vùng miền
cần tày tẩư,Người vùng miền dưới
Tày,càng
tày slon tày chắc,càng học càng biết
Tảy,đất màu
nà tảy lậc,Ruộng có đất màu sâu
Tảy,đáy
dú tẩư tảy,ở dưới đáy
Tảy,đế
tảy hài,đế giày
Tảy,của chìm
te mì lai tảy,nó có nhiều của chìm
Tảy,chịu đựng
tảy khỏ đảy,chịu khó được
tảy nai,chịu kiên nhẫn
Tảy,nhịn
tảy khôm tảy phết,chịu đắng chịu cay
Tảy,đáng
dự đảy tua vài mụng chăn tảy chèn,mua được con trâu mộng thật đáng tiền
Tảy,bõ
Khai mằn bấu tảy công bjai nhả,bán sắn không bõ công làm cỏ
Tảy,nể
Tảy nai,"cố gắng, chịu khó"
tảy nai tắm phải lài,chịu khó dệt vải hoa
Táy,bằng
"mặt bắp táy ăn tẩu, mặt khẩu táy ăn qua","hạt ngô bằng quả bầu, hạt thóc bằng quả dưa"
Tạy,dạy
tạy hết then,dạy hát then
Tắc,"gẫy, đổ"
lồm cải mạy tắc,gió to cây đổ
cấu tắc,cầu gẫy
nả tắc,mặt gẫy
Tắc,vỡ
cằn nà tắc,bờ ruộng bị vỡ
Tắc,đơm
tắc khẩu,đơm cơm
Tắc,múc
tắc nặm,múc nước
Tắc,rót
tắc nặm chè,rót nước chè
Tắc,nuôi bộ
Tắc ngặc,nứt da ở khớp ngón
Kha tắc ngặc,chỗ khớp ngón chân bị nứt
đăng tắc tắc ngậu,mũi gẫy quặp
Tắc nghị,chết uất
Tinh cằm khôm thai tắc nghị,nghe lời cay đắng chết uất
Tắc nghị,chết tươi
bẳn thai tắc nghị,bắn chết tươi
Tắc ten,con châu chấu
Tặc,con tấc
tặc khẩu đăng,con tấc vào mũi
Tặc,giật
tặc tin slửa,giật gấu áo
Tặc,nút chết
Khót tặc,thắt nút chết
Tặc,chắc
nựa tặc,chắc thịt
Tặc,cứng cáp
khen kha tặc,chân tay cứng cáp
Tăm,húc
Vài tò tăm,trâu húc nhau
Tăm,đấm
tăm khảu toọng,đấm vào bụng
Tăm,đâm
tăm hua lồng pùng,đâm đầu xuống bùn
Tăm,giã
tăm khẩu,giã gạo
Tăm toỏng,"xay giã, đâm giã"
tăm toỏng hết ngài,xay giã làm cơm trưa
Tăm toỏng,đâm sầm
tăm toỏng khẩu cốc mạy,đâm sầm vào gốc cây
tăm giẫm đin hết cạch,giẫm đất làm gạch
tăm giẫm hẩu kỉ bảt,đạp cho mấy phát
Tăm te,giẫm rối rít
một khốp kha tăm te,"kiến đốt, giẫm chân rối rít"
Tằm,lặp lại
phuối tằm,nói lặp
tằm cằm cáu,lặp lại lời cũ
Tằm,nhắc lại
tằm sloong pày,nhắc lại hai lần
Tằm,đánh
tằm từn phéc,đánh đùng nổ
Tốc tằm bộp,rơi đánh bộp
Tằm te,nhắc đi nhắc lại
Tắm,từ
tẳm pi quá,từ ngăm ngoái
Tắm,tận
pây tẳm sloai,đi tận trưa
pây tẳm Cà Mau,đi tận Cà Mau
Tắm thỏ,vốn dĩ
Lâu nà nẩy tẳm thỏ của te,thửa ruộng này vốn dĩ là của nó
Tắm thỏ,từ đầu
tẳm thỏ câu tố cạ,từ đầu ta đã bảo rồi
Tắm,dệt
tắm thổ cẩm,dệt thổ cẩm
tắm fục,dệt chiếu
Tắm,thấp
Thiêng tắm rườn slung,lều thấp nhà cao
ca bên tắm lăm bên slung,"quạ bay thấp, diều bay cao"
Tắm,lùn
Pi chài tắm,anh trai lùn
Tắm,nhỏ
Phuối tắm,"nói nhỏ, nói thấp giọng"
Tắm nhét,"thấp lùn, lùn tẹt"
Tắm nhít,lùn tịt
Rườn tắm phjét,nhà thấp lè tè
Tắm sloa,tầm thước
Cần tắm sloa,người tầm thước
Tặm,chống đỡ
tặm dảo,chống kho thóc
tặm cáng mác,chống đỡ cành có quả
Tặm tò,"miễn sao, chỉ mong"
tặm tò mì cần mà nhằng slưởng lăng them,miễn là có người đến chứ còn mong gì hơn
"tặm tò khẩy đây, lẹo kỉ lai chèn bấu sliết","chỉ mong khỏi bệnh, tốn bao nhiêu không tiếc"
Tăn,"dốt, ngu"
Cần tăn,người ngu
Slon tăn,học dốt
Tăn,tục
phuối tăn,nói tục
Tăn đéc,"dốt nát, ngu xi"
Hò nẩy tăn đéc lai,thằng này dốt nát lắm
Tăn đéc,tục tằn
chin phuối tăn đéc,ăn nói tục tằn
Tăn ốt,"dốt đặc, ngu xuẩn"
Tăn phoóc,"vụng, vụng về"
Tua hâư tăn phoóc chắng au khẩu chăn hết pẻng chuầy,đứa nào ngu và vụng thì mới lấy gạo tẻ làm bánh dày
Tằn,"giằng, giật"
tằn au chang mừ,giật lấy trong tay
Tằn,cắn trộm
Ma tằn cảo,chó cắn trộm khuỷu chân
tăn tăn,gật gật
tăn tăn ngặc,gật gật đầu
Tẳn,diện
tẳn slửa khóa mẫu,diện quần áo mới
Tăng,"đâm, thục"
tăng bát pjạ,đâm một nhát dao
tăng nghé bẳng nặm,thục cái ống nước
Tăng năng,ngã khuỵu
cần hết fiệc sloong păng tăng năng thai,"người làm việc cho hai họ, ngã khuỵu chết"
Tăng tọt,"vứt, ném"
Hết rại tăng tọt của cải,hờn dỗi vứt ném đồ đạc
Bấu van tố chin tằng ní,không ngọt cũng ăn vậy
tằng bản pền pi noọng,cả bản thành anh em
tằng rườn pây háng,cả nhà đi chợ
tằng cần ké tố bấu hăn quá,ngay cả người già cũng chưa thấy bao giờ
chồm tằng bứa lẹo,xem đến nỗi chán
khỏi tằng te xày căn hết,tôi cùng nó làm
chài tằng noọng slon bài,anh cùng em học bài
tằng nâư,buổi sáng
Tằng bại,tất cả
tằng bại pây tan nà,tất cả đi gặt lúa
Tằng bại,cùng mọi người
Tằng cạ,đến nỗi
thả tằng cạ hua khao lẹo,chờ đến nỗi bạc cả đầu
Tằng căm,buổi tối
Tằng chai,"đâu có, chả lẽ"
Tằng cừn,ban đêm
Tằng lai,nhiều người
tằng lai tày cha pang,nhiều người cùng giúp
Tằng náo,"thường xuyên, thường thì"
Bươn pét tằng náo mì moóc lồng,tháng tám thường có sương mù
Dú háng tằng náo mì cần khai phjắc,ngoài chợ thường xuyên có người bán rau
Tằng nâư,buổi sáng
Tằng nấy,"vậy, đành vậy"
Khỏi pây vạ tằng nấy,tôi đi cùng vậy
Tằng vằn,ban ngày
Tẳng,dựng
tẳng rườn,dựng nhà
Tẳng,dựng đứng
lính tẳng khửn,dốc dựng ngược
Tẳng,giơ
tẳng mừ,giơ tay
Tẳng,bắc
tẳng mỏ,bắc nồi
Tẳng,dọc
Tàng tẳng,đường dọc
lính tẳng chit,dốc dựng đứng
Tẳng chốc,lêu nghêu
năng tẳng chốc nưa chường,ngồi lêu nghêu trên giường
Tẳng có,xây dựng
tẳng có tơi slổng,xây đời sống
Tẳng cốc,tích lũy ban đầu
Tẳng kha,chổng vó
Lộm tẳng kha,ngã chổng vó
Tẳng kha,"chết ngoẻo, ngã gục"
Tức hẩu slấc tẳng kha,đánh cho giặc ngã gục
Mầu hết đảy bài tập nấy câu nhăn tẳng khây dú,mày làm được bài tập này thì tao trồng chuối ở
Tua ma thai tẳng khẻo,con chó chết nhăn răng
Pây tẳng khoang,đi ngang dọc
ám đin mì pác xíc tẳng khoang,miếng đất có một trăm mét vuông
Tẳng lán,trố
"hăn cần hết, lầu tha tẳng lán","thấy người ta làm, mình trổ mắt nhìn"
Tẳng lùa,cưới con dâu
Tẳng ngộc,tênh nghếch
Tẳng ngộc,sừng sững
phja đán tẳng ngộc,núi đá sừng sững
Tắng nhắng,tua tủa
Nhuốt tắng nhắng,râu tua tủa
Khôn mển tắng nhắng,lông nhím tua tủa
Tắng loạt,đứng ngây
mọi cần tắng loạt,mọi người đứng ngây ra
Tắng loạt,san sát
mảy pàu tứn tắng loạt,măng vầu mọc san sát
tắng mồn,ghế tròn
Mjề tắng phua mà,vợ đợi chồng về
tắng tha vằn khửn,đợi mặt trời mọc
tắng căn coi pây,chờ nhau sẽ đi
Tắng rì,trường kỉ
Tặng,cọc
tặng rị,cọc rào
Tặng,"ngừng, ngớt"
tặng mừ,ngừng tay
Phuối tặng pác,nói ngớt lời
Tặng,tạnh
Phôn tặng,mưa tạnh
"tằng lớp moòng ồm ồm, thầy mà tặng rực","cả lớp đang ồn ào, thầy vào đến nơi, im bặt"
Tắp,gan
tắp vài,gan trâu
tắp cải,gan to
Tắp,gắp
tắp cà,gắp gianh
Tắp,đánh thành gắp
tắp cà mà mùng rườn,đánh gianh để lợp nhà
Tắp,kẹp
tắp pja pỉnh,kẹp cá nướng
Tặp,bấm
tặp khỏ mừ,bấm đốt ngón tay
Tặp,đếm
tặp tứng cần,đếm từng người
Tặp mò mẹ,tính nhẩm
tặp mò mẹ ngòi khai đảy kỉ lai chèn,tính nhẩm xem bán được bao nhiêu tiền
Tặp tay,ân cần
tặp tay slon cạ,ân cần dạy bảo
Tặt,đặt
tặt khửn choòng,đặt lên trên bàn
tặt háp,đặt gánh
tặt ten hẩu lục,đặt tên cho con
Tặt,bịa đặt
Te táng tặt pền tuyện,nó tự bịa chuyện
Tặt chao,"đặt ra, sáng tạo ra"
tặt chao pền phong tục,đặt ra phong tục
Tặt châư,tắt thở
Pựa tặt châư nhằng chứ lục lan,lúc tắt thở vẫn nhớ con cháu
Tậc,đực
Vài tậc,trâu đực
"lang vài mì sloong tua, tua thảu tua tậc","chuồng trâu có hai con, một con đực một con cái"
Tẩn,dây buộc trâu bò
Tẩn,tển
Tân,"đánh, nện"
tân hẩu tón nâng,nện cho một trận
Tận,trận
Tức tận,đánh trận
Bộ đội tức tận Phủ Thông,bộ đội đánh trận Phủ Thông
Tận,trớ
đếch tận nồm,trẻ trớ sữa
Tận,nôn
Chin ím tằng tận lẹo,ăn no đến mức nôn ra
Tận,quay lại
"Nặm noòng bấu khảm ta đảy, cần pây háng tận tẻo mà","nước lũ, người đi chợ không sang sông được quay trở lại"
Tận,trào
mỏ khẩu phật nặm tận oóc noọc,nồi cơm sôi nước trào ra ngoài
Tấng,tứng
Tập,gập
tập bâu chỉa hết tua ẻn,gập tờ giấy làm con én
Tập,gấp
Mì lai slíp tập,có nhiều gấp mười lần
Tập éo,gấp khúc
Tập éo,ngoặt
Boỏng tàng tập éo,chặng đường ngoặt
Tập tọi,lả
đửa tập tọi,mệt lả
Tập tọi,rũ rượi
Bứa tập tọi,chán rũ rượi
Tập tọi,"héo, ủng"
Phjắc dẻng đét héo tập tọi,rau phơi nắng héo ủng
Oóc tất,đánh rắm
Tật,bục
Pjếng fà tật,tấm chăn bục
Nam quà kha khóa tật,gai móc ống quần bục
Tật,vỡ
Cằn nà tật,bờ ruộng bị vỡ
Tật,bật
Tật tạt,"bục vỡ, rách nát"
Tâu,nối
tâu mây,nối chỉ
tâu slảo,nối sào
Tâu,làm mối
Tâu tính,chắp nối
tâu tính kỉ chua,chắp nối mấy đoạn
Tâu tính,ngỏ ý
tâu tính khai vài,ngỏ ý bán trâu
Tầu,đầu
Hết tầu,đứng đầu
Tầu,tướng
Po tầu,ông tướng
Tầu,chúa
Tua tầu mèng thương,ong chúa
Tầu đú,"lúc đầu, trước hết"
Tâu tro,tro
tâu tro fầy,tro bếp
fầy mồm nọi tâu tro mồm lai,lửa nóng ít tro nóng nhiều hơn
Tâu lình,tro nóng
Tâu quầy,rêu
hin loong tứn tâu quầy,đá suối mọc rêu
Tẩu,cái bầu nậm
Nặm lai tẩu khẩu lai pèo,nước rót vào bầu nậm
Tẩu lao,tẩu thuốc lá
Tấu,rùa
đoong tấu,mai rùa
Tấu,nhổ
tấu nài,nhổ nước bọt
Tậu,gậy
Thư tậu,chống gậy
Tậu vai,"gậy song, ba toong"
Tâư,cái mề
tâư cáy,mề gà
Tâư,chai
Mừ tứn tâư,tay lên chai
Tâư,dạn
nả tâư,mặt dạn
Tâư tứt,dày cộp
phả mừ tâư tứt,bàn tay dày cộp
Tâư tứt,"dày, dạn"
nả tâư tứt,mặt dày mày dạn
Tầu,đâu
dú tầu,ở đâu
noọng chắc tầu,em biết đâu
Tầu,nào
rườn tầu,nhà nào
cần tầu,người nào
Tầu,trúng
Bẳn tầu,bắn trúng
tầu lồm,trúng gió độc
Tầu,bị
tầu nam chộc kha,bị gai đâm vào chân
nu tầu cắp,chuột bị sa bẫy
Cò ngheng lẹ tầu piên,bướng quá thì bị đòn
Tầu,khớp nhau
phuối nắm tò tầu,nói không khớp nhau
Tẩu,dưới
bản tẩu,bản dưới
tẩu phục,dưới chiếu
Tẩu,gầm
tẩu lang,gầm sàn
Tẩu cai,dưới hiên nhà
Tẩu cai,"gầm nhà, sân"
"pết cáy têm tẩu cai, vài têm lang","gà vịt đầy sân, trâu đầy chuồng"
Tẩu đin,"dưới đất, âm phủ"
Tẩu fạ,"thế gian, thiên hạ"
Tẩu keo,"dưới xuôi, miền xuôi"
Tẩu lang,"dưới nhà, gầm nhà sàn"
Tẩu nưa,trên dưới
tẩu nưa chùa căn hết fiệc,trên dưới hô hào nhau làm việc
Tây,tây
pạng tây,phương tây
Tây cái,"cái đẫy, cái túi"
tây cái phải nháng,đẫy vải thô
"Hâu cạ thông mác khấy, lầu cạ tây cái kim ngần",người ta bảo túi mướp đắng mình cho rằng đẫy bạc vàng
Tây éo,ruột tượng
Tầy,"đực, giống"
Mu tầy,lợn đực giống
Au tầy,lấy giống
Te,nó
te bấu dú rườn,nó không ở nhà
Tẹ,"hoặc, hay"
tẹ pây rụ tẹ dú,đi hay là không đi
Tẹ,thì
Khỏi tẹ pây nòn chả,tôi thì đi ngủ thôi
Tẹ,sắp
phạ tẹ phôm cà này,trời sắp mưa bây giờ
Tẻ,giun đũa
Tẻ,nhảy
pja tẻ,cá nhảy
Tẻ,chạy
Tẻ,"tế, lễ"
Tặt bôm khẩu tẻ,bày mâm cỗ tế lễ
Tẻ tảt,tán loạn
Té,"đón, chặn"
té tàng,đón đường
Té,chờ
té cáy khảu lậu,chờ gà vào chuồng
Tẹ mjẹ,lỏng lẻo
Lam tẹ mjẹ,buộc lỏng lẻo
Tem,"liền, kề, sát"
khỏi năng tem te,tôi ngồi sát bên cạnh nó
tem kê khẩu tin hẩu phiêng,kê chân cho bằng
Tẻm,"thắp, đốt, châm"
tẻm lao,châm thuốc
Tém,quả sung đất
Tẹm,tấm cót
tẹm phjác khẩu,cót phơi thóc
Ten,tên
Ten eng,tên tục
tèn,"đền, trả"
Hết vai rèo tèn,làm hỏng phải đền
tèn nỉ,trả nợ
Teng,đinh
teng lếch,đinh sắt
Teng,đóng đinh
teng hẩu mắn,đóng đinh cho chắc
Teng,chêm
teng cản bai,chêm cán cuốc
Teng con,đinh đóng chốt
teng con tu hẩu mắn,chốt cửa lại cho chắc
Teng khoảy,đinh ốc
Teng hom,đinh hương
bjoóc teng hom,hoa đinh hương
Tẻng,bện
tẻng lền,bện dây thừng
Tẻng,đánh
tẻng lượt tả,đánh tiết canh
Tẻng,khuấy
tẻng xáy,khuấy trứng
Tẻng,quay
tẻng phải,quay sợi
Téng,chực
téng chin,chực ăn
Téng,cài
téng cắp,cài bẫy
Téng,hứng
téng nặm lìn,hứng nước máng
Téng tẻ,loăng quăng
pây háng téng tẻ thâng đăm chắng mà,đi chợ loăng quăng đến tối mới về
Teo,"lại, trở lại"
teo mà,trở về
Pây pây teo teo,đi đi lại lại
năm teo,cấy lại
Teo,quay
Phuối bử tốc pác,nói lắp quen mồm
Tốc bả,mắc lừa
Ngo bấu tốc bả mầu,tôi không mắc lừa anh
Tốc châư,"bàng hoàng, chột dạ"
Tốc cón,"sớm hơn, nhanh hơn"
po tốc cón cón po hình,ai sớm hơn người đó thắng
Tốc doan,giật mình
Tốc đăm,"chập tối, về tối"
Khỏi mà tốc đăm,tôi về nhà lúc trời tối
Tốc fạc,"ra đời, chào đời"
Tua đếch tốc fạc lúc chết giờ,đứa bé chào đời lúc bảy giờ
Tốc hang,sau cùng
Tốc khuây,say mê
Tinh then hăn tốc khuây bấu chắc mưa,nghe hát then bị say mê lúc nào không biết
Tốc lăng,"về sau, sau đó"
Te mà tốc lăng,nó đến sau
tốc lăng bại cần chắc leo,về sau mọi người biết hết
Tốc mạ,phạm phòng
Tốc mèng,mặt tàn nhang
Nả tốc mèng,mặt tàn nhang
Pền khẩy tốc nắc,bị ốm quá nặng
Điếp căn tốc nắc,yêu nhau quá mức
rườn chài dú tốc nưa rườn noọng,nhà anh ở phía trên nhà em
Tốc phả,"sạm đen, rám"
nả tốc phả,mặt sạm đen
