tay,viet
Co mạy gạo nả bản pông bjoóc đeng lai cả nghé góc fạ khảu bươn slam,Cây gạo đầu làng nở hoa đỏ rực cả một góc trời vào tháng ba
Boong lầu khảu bại slẳm tập huấn về kỹ thuật chay mấư,Chúng tôi tham gia các lớp tập huấn về kỹ thuật trồng trọt mới
Nghé ghế tựa hết bặng mạy phấy đảy tặt noọc hiên rườn sle năng hóng mát,Chiếc ghế tựa làm bằng tre được đặt ngoài hiên nhà để ngồi hóng mát
Tiểng xì xào cúa bâư mạy chang lồm tinh bặng lời thì thầm cúa thiên nhiên,Tiếng xì xào của lá cây trong gió nghe như lời thì thầm của thiên nhiên
"Hâu dủng đin sét sle nặn mỏ, niêu lụ bại cúa gốm ứn","Người ta dùng đất sét để nặn nồi, niêu hoặc các đồ gốm khác"
Đám nổc én chao liệng tềnh nả fạ páo hiệu mùa xuân đang mà,Đàn chim én chao liệng trên bầu trời báo hiệu mùa xuân đang về
Bánh cuốn mồm hổi chin kèm chả vạ nặm chẳm slổm van chăn đây chin,Món bánh cuốn nóng hổi ăn kèm chả và nước chấm chua ngọt rất ngon
Chài tỉ đang dủng nghé chươc chắc sle lam năn nghé béc fừn cải,Anh ấy đang dùng dây thừng chắc chắn để buộc chặt bó củi lớn
Boong lầu tài cha chướng chực ti da slắng vạ đây ngòi,"Chúng tôi cùng nhau giữ gìn vệ sinh môi trường trong lành, sạch đẹp"
Nghé slửa tào le slửa lổi cáu cúa cần mjề cần Keo cáu ké,Chiếc yếm đào là trang phục truyền thống của phụ nữ Kinh ngày xưa
Tiểng hài mạy coỏng tềnh tàng bản tằng cừn rì vắng,Tiếng guốc gỗ gõ nhịp trên đường làng vào những đêm khuya thanh vắng
Te đang dủng bại co mạy cải sle hết cốc rườn slàn chắc,Họ đang dùng những cây gỗ lớn để làm cột nhà sàn kiên cố
Chướng tha nả chang cằm phuối vạ fiệc xáu mọi cần quây,Luôn giữ chữ tín trong lời nói và hành động với mọi người
Boong lầu slon lổi dủng bại cúa tính dân tộc lổi cáu,Chúng tôi học cách sử dụng các loại nhạc cụ dân tộc truyền thống
Tiểng cáy eng chiếp chiếp roọng toi me chin tinh chăn hăn nắt,Tiếng gà con chiếp chiếp đòi mẹ ăn nghe thật đáng yêu
Nghé cháo khao chin tó căn pja kho le ngài tằng nâư tằng náo chin dú lai bản,Món cháo trắng ăn cùng cá kho là bữa sáng quen thuộc ở nhiều vùng quê
Bại mây khao luây luây tềnh nả fạ kheo bích,Những đám mây trắng bồng bềnh trôi lững lờ trên nền trời xanh biếc
Boong lầu tặt pền đám văn nghệ xung kích cúa sláo báo chang xã,Chúng tôi thành lập đội văn nghệ xung kích của thanh niên trong xã
Nghé cối xay gió cáu ké dặng bấu lồm tềnh nhọt pù lồm lai,Chiếc cối xay gió cũ kỹ đứng lặng lẽ trên đỉnh đồi lộng gió
Tiểng mái chèo khua nặm tua thuyền nọi oóc xa cằn,Tiếng ì oạp của mái chèo khua nước đưa con thuyền nhỏ ra xa bờ
Hâu dủng bâư ngậu sle hết khẩu nua lụ bại loại pẻng khác,Người ta dùng lá sen để gói xôi hoặc các loại bánh khác
Đám bẻ chin nhả tềnh pàn pù lính hin,Đàn dê gặm cỏ trên sườn núi dốc đá cheo leo
Chài tỉ đang háp sloong ki phjắc oóc háng khai tằng nâư,Anh ấy đang gánh một đôi sọt đầy rau củ ra chợ bán vào buổi sáng
Nghé moóc húm phong cảnh tằng nâư chăn đây ngòi,Làn sương mỏng bao phủ cảnh vật vào lúc sáng sớm trông thật huyền ảo
Boong lầu tài cha năm mạy sle hết đông tềnh đin pù bấu mì mạy,Chúng tôi tham gia trồng cây gây rừng để phủ xanh đất trống đồi trọc
Nghé lọ phon vạ nghé búa tấu le cúa bại da,Chiếc bình vôi và ống nhổ là vật dụng quen thuộc của các cụ bà ăn trầu
Tiểng tổng tường nhắng nhắng páo hiệu pi slon mấư dá có,Tiếng trống trường rộn rã báo hiệu năm học mới đã bắt đầu
Nghé mác đứa tằng náo tứn dú tềnh đang mạy lụ cáng cải,Quả vả thường mọc thành chùm trên thân cây hoặc cành lớn
Te đang slí dủng bại nghé bủa cải sle tân hin hết tàng,Họ đang dùng những chiếc búa lớn để đập đá làm đường
Dú khó cò đuổi pi noọng,"Sống chan hòa, đoàn kết với bà con lối xóm, láng giềng"
Boong lầu slon chắc tuyển lổi cáu ké vạ lổi cúa bại cần pi noọng,Chúng tôi tìm hiểu về lịch sử và văn hóa của các dân tộc anh em
Nghé cúa sle chướng hưa nặm chè mồm hâng hơn,Cái ấm tích dùng để giữ cho nước chè nóng lâu hơn
Tiểng mạ coỏng tềnh tông quảng quảng lai,"Tiếng ngựa hí vang vọng trên thảo nguyên bao la, rộng lớn"
Nghé pẻng bưa khẩu thúa chẳm tương le nghé cúa bản,"Món bánh đúc lạc chấm tương bần là món quà quê dân dã, mộc mạc"
Chài tỉ đang slí dủng nghé cưa mừ sle xẻ mạy hết cúa dủng,Anh ấy đang dùng một chiếc cưa tay để xẻ gỗ làm đồ dùng
Sluôn bjoóc cải vàng lai xẻ rì tềnh pàn po noài,Vườn hoa cải vàng rực rỡ trải dài trên sườn đồi thoai thoải
Boong lầu tằng náo hết bại fiệc chướng hưa lèng chầy,Chúng tôi tổ chức các hoạt động thể dục thể thao nâng cao sức khỏe
Tiểng lọc cọc nghé xe pây tềnh nghé tàng đin búp báp,Chiếc xe thổ mộ lọc cọc chạy trên con đường đất gập ghềnh
Hâu dủng co mạy sậy sle hết fạc lụ bại cúa hết bặng mừ,Người ta dùng cây sậy để làm phên liếp hoặc các đồ thủ công
Đám tua mật pan đang slí tha cúa kin mà rườn hết khỏ,"Đàn kiến đang tha mồi về tổ một cách cần mẫn, chăm chỉ"
Nghé khẩu mẩu bản Vòng hom le nghé cúa đây cúa Hà Nội cảu cầư,Món cốm làng Vòng thơm dẻo là đặc sản nổi tiếng của Hà Nội
"Mỗi sáng, chuông báo thức kêu",Tằng nâư tiểng moòng
Tằng nâư tiểng moòng,"Mỗi sáng, chuông báo thức kêu"
Khỏi tứn mà slon,Tôi thức dậy sớm
Tha vằn xằng khửn slung,Mặt trời chưa lên cao
Khỏi pây áp đang,"Tôi đi đánh răng, rửa mặt"
Nặm tằng nâư ca rại,Nước buổi sáng thật mát
"Tốc lăng, Khỏi chin pôm pam","Sau đó, tôi ăn sáng nhanh"
ăn Pát khẩu mồm le đo,Một bát cơm nóng là đủ
Lụ nghé ăn pẻng tố van,Hoặc một cái bánh mì cũng ngon
Me khỏi chắp xặp ăn,Mẹ tôi đã chuẩn bị đồ ăn
Khỏi nung slửa khóa pây hết fiệc,Tôi mặc quần áo đi làm
Khỏi ngòi teo tây,Tôi kiểm tra lại túi xách
Chang tây mì Khẩu ngài,Trong đó có cơm trưa
Mì tằng cạ lọ nặm nọi,Có cả chai nước nhỏ
Mì tằng cạ chai nặm nọi,Có cả chai nước nhỏ
Khỏi chao tằng rườn lẹo pây,Tôi chào cả nhà rồi đi
Khỏi châu xe máy oóc pác tu,Tôi dắt xe máy ra khỏi cổng
Tàng pây thâng ti hết fiệc nọi xa,Con đường đến chỗ làm hơi xa
Khỏi pây hết fiệc bặng xe máy,Tôi đi làm bằng xe máy
Lai cần tố đang pây hết fiệc,Nhiều người cũng đang đi làm
Tàng tứn đông cần,Đường phố bắt đầu đông đúc
Bại cần tố pôm pam,Mọi người đều vội vã
Đét tằng nâư chỏi lồng,Ánh nắng ban mai chiếu xuống
Nhằng ca rại,Không khí vẫn còn trong lành
Khỏi thâng rườn máy thúc moòng,Tôi đến nhà máy đúng giờ
Rườn máy chăn cải,Nhà máy rất lớn
Mì lai cần hết fiệc dú ti nẩy,Có nhiều công nhân làm việc ở đây
Khỏi tả xe máy dú bãi xe,Tôi gửi xe ở bãi xe
Khỏi pây khảu ti hết fiệc,Tôi đi vào xưởng làm việc
Tiểng máy tứn roọng,Tiếng máy móc bắt đầu kêu
Tiểng tỉ pền cần chắc lai,Âm thanh đó rất quen thuộc
Khỏi chập bại cần hết fiệc,Tôi gặp các đồng nghiệp
Boong khỏi chao căn,Chúng tôi chào hỏi nhau
Bại cần chắp xặp hết fiệc,Mọi người chuẩn bị bắt đầu ca làm
Vằn nẩy fiệc cúa khỏi le lăng?,Hôm nay công việc của tôi là gì?
Cần chẩu fiệc chia fiệc,Tổ trưởng phân công nhiệm vụ
Khỏi dặng dú ti cúa khỏi,Tôi đứng ở vị trí của mình
Bại máy chắp xặp dá,Máy móc đã sẵn sàng
Khỏi cung nung khẩu páo hua kỹ,Tôi cũng đội mũ cẩn thận
Dú đây khi hết fiệc pền cẩn diếu hết,An toàn lao động là quan trọng nhất
Mừ cúa khỏi hết fiệc khoái,Tay tôi làm việc nhanh nhẹn
Tha cúa khỏi ngòi kỹ khảu cúa hết,Mắt tôi tập trung vào sản phẩm
Nẩy pền fiệc tằng vằn,Đây là công việc hàng ngày
Khỏi hết fiệc dú ti hết fiệc,Tôi làm việc trên dây chuyền
"Mặt cần, mặt fiệc",Mỗi người một công đoạn
Boong khỏi hưa căn hết fiệc đây,Chúng tôi phải phối hợp tốt
Cúa hết oóc len quá mừ cúa khỏi,Sản phẩm chạy qua tay tôi
Khỏi ngòi cúa hết oóc đây lụ xẩu,Tôi kiểm tra chất lượng sản phẩm
Fiệc nẩy cần kỹ,Công việc đòi hỏi sự tỉ mỉ
Tọ khỏi tảy nai hết cho xong,Nhưng tôi cố gắng hoàn thành
"Dú mặt ti khác, bảc cần hết nà oóc tông","Ở một nơi khác, bác nông dân ra đồng"
Te pây từ pưa tằng nâư slon,Bác ấy đi từ tờ mờ sáng
Te tải rèo bai,Bác mang theo cuốc và liềm
Tua vài pây rèo lăng te,Con trâu đi theo sau bác
Vằn nẩy te pây thây nà,Hôm nay bác đi cày ruộng
Co khẩu mấư mọc đây,Cây lúa mới mọc tốt
Bảc cần hết nà hết fiệc xắc,Bác nông dân làm việc chăm chỉ
Hứa rằm thuổn slửa,Mồ hôi ướt đẫm lưng áo
Đét tứn khửn slung,Nắng bắt đầu lên cao
Bảc nhằng hết fiệc xắc,Bác vẫn miệt mài làm việc
Bảc chứ nà nẩy,Bác yêu mảnh ruộng này
Nà hẩư Bảc mặt khẩu,Ruộng cho bác hạt gạo
"Chang ti hết fiệc, bại cần tứn hết fiệc","Trong văn phòng, nhân viên bắt đầu làm việc"
Bại cần tức máy khửn,Họ bật máy tính lên
Chài cần đang ngòi chỉa,Anh kỹ sư đang xem bản vẽ
Nhình kế toán đang ngòi slư,Chị kế toán đang kiểm tra sổ sách
Tiểng moòng roọng quặc quặc,Điện thoại reo liên tục
Bại cần hết fiệc đây,Mọi người làm việc nghiêm túc
Bại cần hết cho xong bại fiệc,Họ giải quyết các công việc
Mì bại cuộc họp nọi,Có những cuộc họp nhỏ
Bại cần tò xày căn phuối tuyện,Mọi người cùng nhau thảo luận
Xa oóc cách hết đây lai,Tìm ra giải pháp tốt nhất
Fiệc ti hết fiệc tố mì đang nái,Công việc văn phòng cũng có áp lực
Đảy hết cho xong thúc moòng,Phải hoàn thành đúng thời hạn
Cần tẳng rườn đang hết vữa,Người thợ xây đang trộn vữa
"Te quại dài, xi măng bặng xẻng","Anh ấy dùng xẻng xúc cát, xi măng"
Đét lai chỏi lồng ti hết fiệc,Nắng gắt chiếu xuống công trường
Te tẳng từng viên gạch,Anh ấy xây từng viên gạch
Bại tường khửn slung từng nọi,Những bức tường cao dần lên
Rườn sắp đảy hết xong,Ngôi nhà sắp được hoàn thành
Fiệc cúa cần tẳng rườn khỏ lai,Công việc của người thợ xây vất vả
Tọ te hăn dung,Nhưng anh ấy thấy vui
Nhình slon đang dặng tềng bục giảng,Cô giáo đang đứng trên bục giảng
Nhình slon slon bại tó,Cô dạy các em học sinh
Heng cúa nhình slon đây tinh,Giọng cô ấm áp và truyền cảm
Bại lục đếch dó dó tinh,Các em nhỏ chăm chú lắng nghe
Nhình slon slon bại tó,Cô giáo truyền đạt kiến thức
Nhình slon ái bại tó,Cô yêu thương học trò của mình
Mái cạ hết fiệc lăng tố tảy đây,Dù làm nghề gì cũng đáng quý
Hạy le fiệc đây,Miễn là công việc lương thiện
Bại cần tố cáp lèng tẳng nặm mường,Mọi người đều góp sức xây dựng xã hội
Thâng moòng dừng mừ,Đến giờ nghỉ giải lao
Công nhân chang rườn máy dặng mừ,Công nhân trong nhà máy tạm dừng tay
"Boong te chin nặm, năng huốt rưng nâng nọi","Họ uống nước, nghỉ ngơi một chút"
Hứa nhằng tềng nả,Mồ hôi vẫn còn trên trán
Kỉ cần phuối tuyện Dung dang,Một vài người nói chuyện vui vẻ
"Boong te lân tuyện rườn, lục lan","Họ kể chuyện gia đình, con cái"
"Tốc lăng, fiệc tứn hết","Sau đó, công việc lại tiếp tục"
Tiểng máy tứn roọng,Tiếng máy lại vang lên
Bại cần tẻo mà ti cúa boong te,Mọi người trở lại vị trí
Bảc cần hết nà tố dặng mừ,Bác nông dân cũng nghỉ tay
Te năng tẩư cốc mạy cải,Bác ngồi dưới gốc cây to
Te chin nặm chè kheo,Bác uống ngụm nước chè xanh
Lồm ca rại,Gió thổi mát rượi
Te ngòi tông khẩu,Bác nhìn cánh đồng lúa
Te hăn Dung nâng nọi,Lòng bác thấy vui vui
Khẩu mọc kheo đây,Lúa đang lên xanh tốt
Le đảy lai,Hứa hẹn một mùa bội thu
"Tằng ngài, thâng moòng chin khẩu","Buổi trưa, đến giờ ăn cơm"
Công nhân au Khẩu ngài oóc,Công nhân lấy hộp cơm ra
Boong te năng chin đuổi căn,Họ ngồi ăn cùng nhau
"Mì Khẩu, mì nựa, mì phjắc","Có cơm, có thịt, có rau"
Bại cần chin rèo phuối tuyện,Mọi người vừa ăn vừa trò chuyện
Ca rại dung dang,Không khí thật đầm ấm
"Chin dá, boong te huốt rưng nâng nọi tằng ngài","Ăn xong, họ nghỉ trưa một lát"
Mì cần nòn dú ti hết fiệc,Có người chợp mắt ngay tại xưởng
Mì kỉ cần ngòi slư,"Có người đọc báo, xem điện thoại"
Moòng huốt rưng tằng ngài bấu rì,Giờ nghỉ trưa không dài
Cần hết fiệc ti hết fiệc pây chin dú rườn chin khẩu,Nhân viên văn phòng đi ăn ở nhà ăn
Boong te tải khẩu từ rườn pây,Hoặc họ mang cơm từ nhà đi
Bảc mà rườn chin khẩu,Bác nông dân về nhà ăn cơm
Mjề cúa Bảc hung khẩu chực dá,Vợ bác đã nấu cơm chờ sẵn
Khẩu ngài bản ca rại đây,Bữa cơm quê thật đậm đà
"Pja hang, phjắc tổm, hang pu","Cá kho, rau luộc, canh cua"
"Pưa lăng chin khẩu, Bảc huốt rưng nâng nọi","Sau bữa trưa, bác nghỉ ngơi một chút"
"Tằng pây, fiệc tứn hết","Buổi chiều, công việc lại bắt đầu"
Bại cần tứn hết fiệc,Mọi người tiếp tục làm việc
Hâu tố tảy nai hết đây fiệc cúa chẩu,Ai cũng cố gắng làm tốt việc của mình
Sự dó dó nhằng lai,Sự tập trung vẫn rất cao
"Hâng hâng, mì cần ngòi fiệc pây ngòi","Thỉnh thoảng, có người quản lý đi kiểm tra"
Boong te dắc xảng cúa hết oóc,Họ nhắc nhở về chất lượng
Lụ ngòi fiệc pây thâng hâư,Hoặc kiểm tra tiến độ công việc
Tằng ăn đảy hết rèo nghĩ,Mọi thứ phải theo đúng kế hoạch
"Chang ti hết fiệc, tiểng máy nhằng roọng","Trong xưởng, tiếng ồn vẫn không ngớt"
Tọ bại cần tốc lẹo dá,Nhưng mọi người đã quen rồi
Boong te hết fiệc đây lai,Họ làm việc một cách chuyên nghiệp
Sloong mừ dó dó quặc quặc,Đôi tay thoăn thoắt không ngừng
Tha luôn ngòi từng nọi,Ánh mắt luôn dõi theo từng chi tiết
Te au nghé xéc thai tẳng lai,Chị ấy dùng kéo rất khéo
Tàng xéc tồng căn,Đường cắt thẳng và đều
"Tốc lăng, te doại phải khảu máy nhặp","Sau đó, chị đưa vải vào máy may"
Nâng nghé slửa sắp hết xong,Một chiếc áo sắp hoàn thành
Te ái fiệc cúa chẩu,Chị yêu công việc của mình
Cần lái xe tải đang tải cúa,Người lái xe tải đang chở hàng
Te lái xe pây thuổn ti,Anh ấy lái xe đi khắp nơi
Từ thành phố thâng bản,Từ thành phố đến nông thôn
Từ mường lồng khửn mường khửn,Từ miền xuôi lên miền ngược
Fiệc cúa te khỏ lai,Công việc của anh ấy vất vả
Đảy xa rườn lai vằn,Phải xa nhà nhiều ngày
Nhoòng cúa đảy au pây thâng ti cạ,Vì hàng hóa được giao đến nơi
Nhình khai cúa dú háng đang roọng khéc,Chị bán hàng ở chợ đang mời khách
Phjắc kheo lai,Rau rất tươi và xanh
Te đây nả xáu bại cần,Chị niềm nở với mọi người
Te khai cúa mừ khoái,Chị bán hàng nhanh tay
"Te châng cúa, tặp chèn","Chị cân hàng, tính tiền"
Fiệc mái cạ nọi,Công việc tuy nhỏ bé
Tọ tố cáp lèng hẩư cuốc slíp,Nhưng cũng góp phần cho cuộc sống
Cần tắc pja đang péng khe pầu,Người ngư dân đang kéo lưới
Nghé thuyền cúa te dú noọc xa,Chiếc thuyền của anh ở ngoài khơi xa
Nặm lai,Biển cả mênh mông
Fiệc cúa cần tắc pja khỏ lai,Công việc của ngư dân rất nguy hiểm
"Boong te đảy tảy foòng cải, lồm cải","Họ phải đối mặt với sóng to, gió lớn"
Tọ te nhằng dú nặm,Nhưng họ vẫn bám biển
Nặm le cúa liệng cúa boong te,Biển là nguồn sống của họ
"Thâng moòng hết tằng pây, fiệc sắp hết xong","Gần cuối buổi chiều, công việc sắp kết thúc"
Bại cần tứn hăn đang nái,Mọi người bắt đầu thấy thấm mệt
Tọ châư nhằng mì,Nhưng tinh thần vẫn còn
Boong te tảy nai hết cho xong făn fiệc,Họ cố gắng hoàn thành nốt phần việc
Bấu cầư ái tả tốc pjoong,Không ai muốn để dở dang
Bảc cần hết nà fẹn fặt cúa hết nà,Bác nông dân thu dọn nông cụ
Bảc au vài mà lang vài,Bác dắt trâu về chuồng
Vằn hết fiệc cúa Bảc hết xong,Ngày làm việc của bác kết thúc
Bảc hăn cò lồng xáu lèng tả oóc,Bác thấy hài lòng với công sức bỏ ra
"Chang rườn máy, tiểng hết moòng roọng","Trong nhà máy, chuông báo hết giờ làm reo"
Bại cần dặng mừ,Mọi người dừng tay
Boong te đắp máy,Họ tắt máy móc cẩn thận
Fẹn fặt ti hết fiệc đây đứa,Dọn dẹp chỗ làm việc sạch sẽ
Au cúa hết fiệc khảu đúng ti,Cất dụng cụ vào đúng nơi quy định
Vằn hết fiệc đá hết xong,Ca làm việc đã kết thúc
Bại cần lai slửa khóa,Mọi người thay quần áo
Boong te chắp xặp oóc mừa rườn,Họ chuẩn bị ra về
Nả bại cần tố vui lai,Nét mặt ai cũng vui hơn
Nhoòng sắp đảy mừa rườn,Vì sắp được về nhà
Chập rườn cúa ái,Gặp gỡ gia đình thân yêu
Cần hết fiệc ti hết fiệc tố đắp máy,Nhân viên văn phòng cũng tắt máy tính
Boong te fẹn fặt ti hết fiệc cúa boong te,Họ thu dọn bàn làm việc
Boong te phuối xá bạn hết fiệc,Chào tạm biệt đồng nghiệp
Boong te oóc ti hết fiệc,Họ ra khỏi văn phòng
Cần hết fiệc đông lai,Dòng người tan ca đông đúc
Xe cộ tứn len lai tềnh tàng,Xe cộ lại tấp nập trên đường
Tiểng khua phuối nhắng nhắng,Tiếng cười nói rộn rã
Bại cần mừa rườn lăng nâng vằn hết fiệc,Mọi người trở về nhà sau một ngày lao động
"Tềnh tàng mừa rườn, Khỏi dằng khẩu tằng căm","Trên đường về, tôi nghĩ về bữa tối"
Vằn nẩy me hung lăng?,Hôm nay mẹ sẽ nấu món gì?
Khỏi hăn mốc dac,Tôi cảm thấy đói bụng
Tọ châư hăn huốt rưng,Nhưng lòng thấy nhẹ nhõm
Nhoòng hết xong fiệc dá,Vì đã hoàn thành công việc
"Mưa rườn thâng, khỏi hăn me đang hung hang","Về đến nhà, tôi thấy mẹ đang nấu ăn"
Mùi cúa chin hom ngứt ngảo,Mùi thức ăn thơm phức
Tằng rườn dú xẩư mâm khẩu,Cả nhà quây quần bên mâm cơm
Khẩu ngài căm ca rại ấm dung,Bữa cơm tối thật ấm cúng
Bại cần lân tuyện chang vằn,Mọi người kể chuyện trong ngày
Po hảy fiệc cúa khỏi,Bố hỏi về công việc của tôi
Khỏi lân hẩư Po tinh,Tôi kể cho bố nghe
Hết fiệc au mà chèn,Lao động mang lại thu nhập
Chèn hưa liệng cuốc căn,Tiền lương giúp trang trải cuộc sống
"Dự cúa chin, slửa khóa, sléc","Mua đồ ăn, quần áo, sách vở"
"Lo hẩư rườn, lục lan","Lo cho gia đình, con cái"
Hết fiệc tố hết oóc cúa,Lao động cũng tạo ra sản phẩm
"Mặt khẩu, slửa khóa, rườn lang","Hạt gạo, quần áo, nhà cửa"
Thuổn tố từ lèng hết fiệc,Tất cả đều từ sức lao động
Cúa hết hẩư bại cần,Sản phẩm phục vụ cho xã hội
Hết fiệc hẩư cuốc slíp đây lai,Làm cho cuộc sống tốt đẹp hơn
Hết fiệc nhằng hẩư dung dang,Lao động còn mang lại niềm vui
Dung dang pưa hết xong fiệc,Niềm vui khi hoàn thành công việc
Dung dang pưa hết oóc cúa,Niềm vui khi tạo ra giá trị
Hăn chẩu mì ích,Cảm thấy mình có ích
Hết fiệc hưa cần ngòi chướng chực chẩu,Lao động giúp con người rèn luyện
Hưa cần tảy nai,Rèn luyện tính kiên nhẫn
Hưa cần hết rèo nghĩ,Rèn luyện tính kỷ luật
Hưa cần mì lèng chầy đây,Rèn luyện sức khỏe
Mừ hết fiệc tẳng mường bản,Bàn tay lao động xây dựng quê hương
Mường bản khửn cải nhoòng hết fiệc,Đất nước phát triển nhờ lao động
Thuổn tàng hết kin tố đây lai,Mọi ngành nghề đều quan trọng
Từ cần hết fiệc chang rườn máy thâng cần ngòi chắc lai,Từ người công nhân đến nhà khoa học
Thuổn tố đang cáp făn,Tất cả đều đang cống hiến
Mỗi cần nâng fiệc,Mỗi người một việc
Tò căn hết hẩư cuốc slíp khửn cải,Cùng nhau làm cho xã hội tiến bộ
Toi lai lèng,Đòi hỏi nhiều sức lực
Tố mì nghé fiệc toi po dằng,Cũng có những công việc đòi hỏi trí óc
"Po dằng, po hết oóc nghé mấư","Phải suy nghĩ, sáng tạo"
Tọ thuổn tố đáng ngòi cao,Nhưng tất cả đều đáng trân trọng
Bấu mì fiệc pên nọi le,Không có công việc nào là thấp hèn
Cạ mì cần bấu ái hết fiệc,Chỉ có người không muốn lao động
Hết fiệc le cúa cần po hết,Lao động là quyền và nghĩa vụ
Cầư tố cần po hết fiệc,Ai cũng cần phải lao động
Sle liệng chẩu xáu rườn,Để nuôi sống bản thân và gia đình
Sle cáp făn hẩư bản mường,Để đóng góp cho cộng đồng
Cần hết fiệc đây luôn đảy ngòi cao,Người lao động chân chính luôn được tôn vinh
Boong te le bại cần hết hẩư cuốc slíp đây,Họ là những người làm đẹp cho đời
Ngòi cao fiệc cúa chẩu,Hãy yêu quý công việc của mình
Mái cạ ăn nẩy le fiệc lăng tố,Dù đó là công việc gì
Hết fiệc xáu tằng châư,Hãy làm việc bằng cả trái tim
Hết fiệc mì tả cẩn,Hãy làm việc với tinh thần trách nhiệm
Cúa đảy hết fiệc rèo đây lai,Thành quả lao động sẽ rất ngọt ngào
"Bấu đảy mốc slổm, tảy nai","Đừng nản lòng, hãy cố gắng"
Slon cúa hết vai,Học hỏi từ những sai lầm
Tằng náo chướng chực cúa hết fiệc,Luôn trau dồi kỹ năng làm việc
Sle fiệc nhặt vằn nhặt đây lai,Để công việc ngày càng tốt hơn
Quan hệ xáu bạn hết fiệc chăn quan trọng,Mối quan hệ với đồng nghiệp rất quan trọng
Choi căn,Hãy giúp đỡ lẫn nhau
Tò căn hết hẩư ti hết fiệc dung dang,Cùng nhau tạo môi trường làm việc vui vẻ
Khảu cò xẹ hết oóc lèng chầy,Đoàn kết sẽ tạo nên sức mạnh
"Lăng nâng vằn hết fiệc, Huốt rưng","Sau một ngày làm việc, hãy nghỉ ngơi"
Dú xẩư rườn,Dành thời gian cho gia đình
Au lèng hẩư vằn pjục,Tái tạo năng lượng cho ngày mai
Vằn pjục fiệc lai mà,Ngày mai công việc lại tiếp tục
Hết fiệc sle dú xáu khửn cải,Lao động để tồn tại và phát triển
Hết fiệc sle xá hăn ngấư đây cúa cuốc slíp,Lao động để tìm thấy ý nghĩa cuộc sống
Bại mặt hứa tốc lồng,Những giọt mồ hôi đổ xuống
Xẹ au mà bại tiểng khua dung dang,Sẽ đổi lại những nụ cười hạnh phúc
Từ lai slẳm bại cần ké pây cón,Từ bao thế hệ cha ông đi trước
Boong hây rèo nòi ăn nẩy,Chúng ta tiếp nối truyền thống đó
Hết fiệc dó dó xáu hết oóc nghé mấư,Lao động cần cù và sáng tạo
Hẩư mường bản nhặt vằn nhặt đây lai,Để quê hương ngày càng giàu đẹp
Cuốc slíp cúa cần hết fiệc chăn đáng ngòi cao,Cuộc sống của người lao động thật đáng quý
Boong te le bại bjoóc nọi,Họ là những bông hoa thầm lặng
Ngòi cao ngấư đây cúa hết fiệc,Hãy trân trọng giá trị của lao động
"Noọng ơi, hẩư chài tuộng hang","Chào em, cho anh gọi món"
"Chư á, chài ái chin lăng á?","Dạ, anh muốn dùng gì ạ?"
Hẩư chài nâng bát fẳn nựa mò,Cho anh một bát phở bò
Chài ái fẳn nào vạ fẳn đáy?,Anh muốn phở tái hay chín?
Hẩư chài fẳn nào nớ,Cho anh phở tái nhé
Chài mì dủng them quẩy mo?,Anh có dùng thêm quẩy không?
"Mì, hẩư chài nâng chan quẩy","Có, cho anh một đĩa quẩy"
Hẩư chài nâng choóc nặm chà hin,Cho anh một cốc trà đá
"Chư á, chài thả nâng coỏi","Dạ, anh đợi một chút ạ"
Pjom bái noọng,Cảm ơn em
Hẩư chài chin đây,Chúc anh ngon miệng
"Chư á, cúa chài nẩy","Dạ, của anh đây"
Bát fẳn nẩy đây lai,Bát phở này ngon quá
Pjom bái chài đá phuối đây,Cảm ơn anh đã khen
Tính chèn hẩư chài đuổi,Tính tiền cho anh với
"Chư á, cúa chài hết hả slíp xiên","Dạ, của anh hết 50 nghìn"
"Nẩy, hẩư noọng","Đây, gửi em"
Pjom bái Slắc lăng mả quá ti chin hang cúa noọng nớ,Em cảm ơn Lần sau lại ghé quán em nhé
"Bảc ơi, hẩư lục hảy thăm","Bác ơi, cho cháu hỏi thăm"
Bưu điện dú ti hâư á?,Bưu điện ở đâu ạ?
Lục pây thẳng tàng nẩy,Cháu đi thẳng đường này
Pây kỉ lai hâng them hả bảc?,Đi bao xa nữa hả bác?
Độ sloong pác mét them,Khoảng 200 mét nữa
Thâng ngã tư lẻ pjảc pạng dại vạ pạng sloa á?,Đến ngã tư thì rẽ phải hay trái ạ?
"Thâng ngã tư, lục pjảc pạng dại nớ","Đến ngã tư, cháu rẽ phải nhé"
Bưu điện mì cải mo á?,Bưu điện có to không ạ?
"Mì, te le nâng rườn lang mảc vảng","Có, nó là một tòa nhà màu vàng"
Lục hăn ngai chầy men mo á?,Cháu nhìn thấy ngay phải không ạ?
"Men lố, ngai xá lai","Đúng rồi, dễ tìm lắm"
Lục pjom bái bảc lai,Cháu cảm ơn bác nhiều
"Bấu mì lăng au, lục",Không có gì đâu cháu
Fạ vằn nẩy đây lai,Hôm nay trời đẹp quá
"Chư, đét ún, bấu mì lồm","Ừ, nắng ấm, không có gió"
Kỉ vằn cón phân quặc quặc,Mấy hôm trước mưa suốt
"Men lố, hết khỏ chịu","Đúng vậy, ẩm ướt khó chịu"
Khỏi nắt vằn bặng vằn nẩy,Tôi thích thời tiết như hôm nay
